match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition.competition_id,competition.country_name,competition.competition_name,season.season_id,season.season_name,home_team.home_team_id,home_team.home_team_name,home_team.home_team_gender,home_team.home_team_group,home_team.managers,home_team.country.id,home_team.country.name,away_team.away_team_id,away_team.away_team_name,away_team.away_team_gender,away_team.away_team_group,away_team.managers,away_team.country.id,away_team.country.name,metadata.data_version,metadata.shot_fidelity_version,metadata.xy_fidelity_version,competition_stage.id,competition_stage.name,stadium.id,stadium.name,stadium.country.id,stadium.country.name,referee.id,referee.name,referee.country.id,referee.country.name
3795220,2021-07-06,21:00:00.000,1,1,available,available,2021-08-09T20:41:31.241,2022-08-04T12:00,6,55,Europe,UEFA Euro,43,2020,914,Italy,male,NA,,112,Italy,772,Spain,male,NA,,214,Spain,1.1.0,2,2,15,Semi-finals,4666,Wembley Stadium,68,England,186,Felix Brych,85,Germany
3788769,2021-06-21,21:00:00.000,1,4,available,available,2021-07-15T14:05:30.270,2022-08-04T12:00,3,55,Europe,UEFA Euro,43,2020,796,Russia,male,Group B,,188,Russia,776,Denmark,male,Group B,,61,Denmark,1.1.0,2,2,10,Group Stage,495,Parken,61,Denmark,76,ClÃ©ment Turpin,78,France
3788761,2021-06-18,15:00:00.000,1,0,available,available,2021-06-20T13:02:21.442,2022-08-04T12:00,2,55,Europe,UEFA Euro,43,2020,790,Sweden,male,Group E,,220,Sweden,908,Slovakia,male,Group E,,207,Slovakia,1.1.0,2,2,10,Group Stage,4726,Saint-Petersburg Stadium,188,Russia,225,Daniel Siebert,85,Germany
3788766,2021-06-20,18:00:00.000,1,0,available,available,2021-06-21T20:35:17.912,2022-08-04T12:00,3,55,Europe,UEFA Euro,43,2020,914,Italy,male,Group A,,112,Italy,907,Wales,male,Group A,,249,Wales,1.1.0,2,2,10,Group Stage,381,Estadio OlÃ­mpico,112,Italy,448,Ovidiu Alin HaÈ›egan,187,Romania
3788764,2021-06-19,18:00:00.000,2,4,available,available,2021-06-20T13:10:40.911,2022-08-04T12:00,2,55,Europe,UEFA Euro,43,2020,780,Portugal,male,Group F,,183,Portugal,770,Germany,male,Group F,,85,Germany,1.1.0,2,2,10,Group Stage,4867,Allianz Arena,85,Germany,8,Anthony Taylor,68,England
3788773,2021-06-23,21:00:00.000,2,2,available,available,2021-06-26T12:36:01.696,2022-08-04T12:00,3,55,Europe,UEFA Euro,43,2020,780,Portugal,male,Group F,,183,Portugal,771,France,male,Group F,,78,France,1.1.0,2,2,10,Group Stage,116551,PuskÃ¡s ArÃ©na,103,Hungary,180,Antonio Miguel Mateu Lahoz,214,Spain
3788755,2021-06-16,18:00:00.000,0,2,available,available,2021-07-21T12:20:01.406,2022-08-04T12:00,2,55,Europe,UEFA Euro,43,2020,909,Turkey,male,Group A,,233,Turkey,907,Wales,male,Group A,,249,Wales,1.1.0,2,2,10,Group Stage,4549,BakÄ± Olimpiya Stadionu,16,Azerbaijan,2445,Artur Manuel Ribeiro Soares Dias,183,Portugal
3788754,2021-06-16,21:00:00.000,3,0,available,available,2021-06-17T13:24:15.990,2022-08-04T12:00,2,55,Europe,UEFA Euro,43,2020,914,Italy,male,Group A,,112,Italy,773,Switzerland,male,Group A,,221,Switzerland,1.1.0,2,2,10,Group Stage,381,Estadio OlÃ­mpico,112,Italy,725,Sergey Karasev,188,Russia
3788762,2021-06-19,21:00:00.000,1,1,available,available,2021-09-06T18:23:20.676161,2022-08-04T12:00,2,55,Europe,UEFA Euro,43,2020,772,Spain,male,Group E,,214,Spain,789,Poland,male,Group E,,182,Poland,1.1.0,2,2,10,Group Stage,117374,Estadio de La Cartuja,214,Spain,269,Daniele Orsato,112,Italy
3788760,2021-06-18,18:00:00.000,1,1,available,available,2021-06-20T13:06:34.043,2022-08-04T12:00,2,55,Europe,UEFA Euro,43,2020,785,Croatia,male,Group D,,56,Croatia,912,Czech Republic,male,Group D,,60,Czech Republic,1.1.0,2,2,10,Group Stage,52986,Hampden Park,201,Scotland,2728,Carlos del Cerro Grande,214,Spain
3788747,2021-06-13,18:00:00.000,3,1,available,available,2021-07-07T13:09:42.891,2022-08-04T12:00,1,55,Europe,UEFA Euro,43,2020,915,Austria,male,Group C,,15,Austria,2358,North Macedonia,male,Group C,,135,"Macedonia, Republic of",1.1.0,2,2,10,Group Stage,4365,Arena NaÅ£ionalÄƒ,187,Romania,591,Lars Christian Andreas Ekberg,220,Sweden
