fecha_hora,estadio_locaclidad,local,visita,resultado,goles local,goles_visita
"22 de enero de 2016, 18:30","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","San Luis","3:1 (1:0)","Prieto  7'

Fernández  62'

Cuadra  75'","Sirino  87'"
"20 de febrero de 2016, 19:30","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Audax Italiano","2:2 (1:2)","Ubilla  5'

Corujo  75'","Valdés  37' ,  42'"
"12 de febrero de 2016, 19:30","San Carlos, Santiago (Las Condes)","Universidad Católica","Unión Española","4:2 (1:2)","Cordero  19'

Fuenzalida  47'

Castillo  63'  (pen.),  90+4'","Churín  9'

López  29'"
"16 de enero de 2016, 19:30","CAP, Talcahuano","Huachipato","Universidad de Concepción","3:0 (1:0)","Bizama  3'

Duma  68'

Vázquez  90'",""
"18 de marzo de 2016, 20:30","El Teniente, Rancagua","O'Higgins","Unión Española","0:0","",""
"20 de febrero de 2016, 17:00","El Teniente, Rancagua","O'Higgins","Universidad Católica","4:3 (2:0)","Lezcano  18' ,  56'

Insaurralde  30'

Soza  46'","Castillo  85' ,  90+5'  (pen.)

Bravo  88'"
"10 de abril de 2016, 12:30","El Teniente, Rancagua","O'Higgins","Colo-Colo","3:0 (2:0)","Fuentes  13'

Calandria  20' ,  58'",""
"16 de enero de 2016, 17:00","Monumental, Santiago (Macul)","Colo-Colo","Unión Española","1:1 (0:0)","Rodríguez  49'","Churín  70'"
"8 de abril de 2016, 20:00","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Deportes Iquique","2:1 (2:0)","Charles  17'  (a.g.)

Herrera  32'  (pen.)","Bustamante  54'"
"6 de marzo de 2016, 19:30","Tierra de Campeones, Iquique","Deportes Iquique","Audax Italiano","1:1 (1:0)","Riquero  29'","Benegas  89'"
"20 de abril de 2016, 18:30","Monumental, Santiago (Macul)","Colo-Colo","Palestino","1:3 (0:2)","Fierro  90+2'","Meza  8'

Gutiérrez  9' ,  82'"
"23 de enero de 2016, 22:00","Lucio Fariña Fernández, Quillota","Unión La Calera","Universidad Católica","1:4 (0:2)","Vidal  77'","Vargas  27' ,  48'

Cereceda  45+1'  (a.g.)

Espinosa  63'"
"17 de enero de 2016, 19:30","San Carlos, Santiago (Las Condes)","Universidad Católica","Deportes Iquique","2:2 (0:0)","Castillo  74'  (pen.)

Fuenzalida  80'","Villalobos  69' ,  88'  (pen.)"
"29 de abril de 2016, 21:00","Carlos Dittborn, Arica","San Marcos de Arica","Palestino","2:3 (0:1)","Méndez  66'

Ferreyra  90+4'","Paredes  23'

Gutiérrez  61'

Cortés  70'"
"20 de marzo de 2016, 12:30","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Colo-Colo","0:0","",""
"5 de marzo de 2016, 17:00","Santa Laura, Santiago (Independencia)","Unión Española","Universidad de Chile","0:0","",""
"16 de abril de 2016, 20:00","Santa Laura, Santiago (Independencia)","Unión Española","Santiago Wanderers","2:2 (1:1)","Churín  36' ,  55'","Fernández  45+2'  (pen.)

Muñoz  71'"
"23 de enero de 2016, 19:45","CAP, Talcahuano","Universidad de Concepción","Deportes Antofagasta","2:1 (0:0)","Vargas  48'

Conti  85'","Leyton  57'"
"16 de abril de 2016, 15:00","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Cobresal","2:1 (1:0)","Bolados  45+1'

Droguett  54'","Sandoval  87'"
"29 de abril de 2016, 18:30","Lucio Fariña Fernández, Quillota","Unión La Calera","Deportes Iquique","2:4 (1:1)","Cereceda  6'

Castro  76'","Ríos  28'

Villalobos  51' ,  62'

Riquero  90+2'  (pen.)"
"12 de marzo de 2016, 19:45","San Carlos, Santiago (Las Condes)","Universidad Católica","Deportes Antofagasta","2:1 (0:0)","Llanos  46' ,  64'","Ciampichetti  68'  (pen.)"
