fecha_hora,estadio_locaclidad,local,visita,resultado,goles local,goles_visita
"17 de abril de 2016, 20:00","Lucio Fariña Fernández, Quillota","Unión La Calera","Universidad de Concepción","1:2 (1:1)","Michelli  20'","Manríquez  24'

Lepe  59'"
"5 de febrero de 2016, 22:00","Municipal, Santiago (La Florida)","Audax Italiano","San Luis","1:0 (0:0)","Campos Toro  56'",""
"10 de abril de 2016, 20:00","Carlos Dittborn, Arica","San Marcos de Arica","Universidad Católica","3:2 (0:1)","Ferreyra  50'

Orellana  63' ,  75'","Vargas  9'

Bravo  90+4'"
"20 de marzo de 2016, 22:00","El Cobre, El Salvador","Cobresal","Unión La Calera","0:0","",""
"24 de enero de 2016, 22:00","El Cobre, El Salvador","Cobresal","San Marcos de Arica","0:0","",""
"10 de abril de 2016, 17:00","Municipal, Santiago (La Florida)","Audax Italiano","Unión Española","1:1 (0:0)","Elizondo  88'","Pinares  70'"
"15 de enero de 2016, 19:30","El Teniente, Rancagua","O'Higgins","Unión La Calera","4:0 (1:0)","Calandria  36'  (pen.)

Márquez  46'

Ortiz  50'  (a.g.)

Lezcano  58'",""
"12 de marzo de 2016, 22:00","CAP, Talcahuano","Huachipato","O'Higgins","0:1 (0:1)","","Calandria  45'"
"30 de abril de 2016, 16:00","San Carlos, Santiago (Las Condes)","Universidad Católica","Audax Italiano","2:1 (0:1)","Llanos  70'

Fuenzalida  86'","Vallejos  14'"
"26 de febrero de 2016, 20:30","CAP, Talcahuano","Universidad de Concepción","Unión Española","3:1 (2:1)","Vargas  33'

Fritz  45'

Camargo  64'","Pinares  40'"
"28 de abril de 2016, 21:00","Santa Laura, Santiago (Independencia)","Unión Española","Cobresal","1:1 (0:1)","Churín  50'","Maldonado  25'"
"17 de enero de 2016, 17:00","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Universidad de Chile","1:1 (1:0)","Orlando  33'","Suárez  77'"
"29 de abril de 2016, 18:30","CAP, Talcahuano","Huachipato","Universidad de Chile","4:2 (2:0)","Otero  9'

Duma  33' ,  79'

Santander  88'","Taiva  70' ,  74'"
"14 de marzo de 2016, 18:00","Municipal, Santiago (La Cisterna)","Palestino","San Luis","2:2 (1:1)","Cisternas  17'

Escobar  61'  (a.g.)","Grondona  11'

Magnín  86'"
"23 de enero de 2016, 17:30","Municipal, Santiago (La Florida)","Audax Italiano","Colo-Colo","0:3 (0:0)","","Beausejour  61'

Valdés  74'

Vilches  90+1'"
"6 de febrero de 2016, 19:30","CAP, Talcahuano","Universidad de Concepción","Universidad Católica","2:4 (1:3)","Meneses  8'

González  62'","Castillo  15'  (pen.),  26'

Bravo  16'

Rojas  88'"
"28 de febrero de 2016, 22:00","Municipal, Santiago (La Florida)","Audax Italiano","O'Higgins","2:2 (0:0)","Silva  56'

Benegas  63'  (pen.)","Fernández  48'

Lezcano  72'  (pen.)"
"24 de abril de 2016, 18:00","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Deportes Antofagasta","1:1 (0:0)","Luna  85'","Rosales  67'  (a.g.)"
"19 de marzo de 2016, 19:30","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Deportes Iquique","2:3 (2:2)","Lorca  14'

Ciampichetti  20'","Ríos  28' ,  82'

Cubillos  32'"
"29 de abril de 2016, 21:00","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","San Luis","1:1 (1:1)","Leyton  24'","Grondona  4'"
"13 de febrero de 2016, 17:00","Nacional, Santiago (Ñuñoa)","Palestino","Universidad de Chile","2:1 (1:0)","Maturana  20'

Cortés  83'","Herrera  73'  (pen.)"
"2 de abril de 2016, 15:00","Tierra de Campeones, Iquique","Deportes Iquique","Universidad de Concepción","3:1 (1:0)","Bustamante  44' ,  63'

Cubillos  66'","Manríquez  74'  (pen.)"
"5 de marzo de 2016, 19:30","CAP, Talcahuano","Huachipato","San Marcos de Arica","1:1 (0:1)","Vázquez  89'","Orellana  41'"
"27 de enero de 2016, 20:00","Lucio Fariña Fernández, Quillota","San Luis","Universidad de Chile","1:1 (1:0)","Fiorina  16'","Canales  60'  (pen.)"
"2 de abril de 2016, 17:30","Monumental, Santiago (Macul)","Colo-Colo","Huachipato","1:1 (0:0)","Paredes  70'  (pen.)","Huerta  46'"
"11 de marzo de 2016, 19:30","Lucio Fariña Fernández, Quillota","Unión La Calera","Unión Española","2:1 (2:0)","Oyarzún  16'

Michelli  22'","Churín  73'  (pen.)"
"14 de febrero de 2016, 19:30","CAP, Talcahuano","Huachipato","Santiago Wanderers","3:2 (1:2)","Huerta  41'

Vázquez  48'

Otero  59'","M. Fernández  2'

R. Fernández  14'"
"23 de abril de 2016, 12:30","San Carlos, Santiago (Las Condes)","Universidad Católica","Universidad de Chile","2:1 (1:0)","Fuenzalida  5'

Carreño  56'","Rodríguez  49'"
"19 de febrero de 2016, 19:30","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Palestino","0:0","",""
"23 de abril de 2016, 15:00","Municipal, Santiago (La Cisterna)","Palestino","Huachipato","1:1 (1:1)","Riquelme  29'","Otero  25'"
"28 de febrero de 2016, 17:00","El Cobre, El Salvador","Cobresal","Universidad de Chile","1:4 (1:2)","Oyaneder  10'","Corujo  30'

Ubilla  44'

Canales  69'

Parada  88'"
"17 de abril de 2016, 15:00","Carlos Dittborn, Arica","San Marcos de Arica","Deportes Iquique","0:1 (0:0)","","Ríos  61'"
"4 de marzo de 2016, 19:30","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Unión La Calera","3:1 (1:0)","Orlando  43' ,  76'

Droguett  59'","Arrúa  49'"
"21 de febrero de 2016, 17:00","La Portada, La Serena","Unión La Calera","Colo-Colo","0:1 (0:0)","","Tonso  49'"
"16 de abril de 2016, 17:30","CAP, Talcahuano","Huachipato","Audax Italiano","0:3 (0:2)","","Santos  55'

Mora  34' ,  85'"
"5 de abril de 2016, 19:00","CAP, Talcahuano","Huachipato","San Luis","3:3 (1:1)","Vázquez  20'

Sepúlveda  47'

Parot  59'","Escobar  33' ,  68'

Gómez  64'  (pen.)"
"4 de abril de 2016, 19:30","Santa Laura, Santiago (Independencia)","Unión Española","San Marcos de Arica","1:1 (0:1)","Salom  90'  (pen.)","González  8'"
"26 de abril de 2016, 20:00","Lucio Fariña Fernández, Quillota","San Luis","Universidad Católica","1:0 (1:0)","Escobar  36'",""
"7 de marzo de 2016, 19:30","El Teniente, Rancagua","O'Higgins","Palestino","1:1 (1:1)","Muñoz  22'","Gutiérrez  20'"
"14 de febrero de 2016, 22:00","Carlos Dittborn, Arica","San Marcos de Arica","O'Higgins","0:1 (0:1)","","Fernández  3'"
"19 de marzo de 2016, 22:00","Ester Roa Rebolledo, Concepción","Universidad de Concepción","Audax Italiano","2:0 (1:0)","Meneses  39'

Vargas  78'",""
"26 de febrero de 2016, 18:00","Municipal, Santiago (La Cisterna)","Palestino","Deportes Iquique","2:2 (0:2)","Zacaría  88'

Gutiérrez  90+2'  (pen.)","Torres  6'

Bustamante  28'"
"3 de abril de 2016, 20:00","San Carlos, Santiago (Las Condes)","Universidad Católica","Cobresal","1:0 (1:0)","Castillo  9'",""
"11 de marzo de 2016, 22:00","Tierra de Campeones, Iquique","Deportes Iquique","Santiago Wanderers","1:2 (1:1)","Bahamondes  45'","Ramos  35'

Bravo  73'"
"19 de marzo de 2016, 17:00","Nacional, Santiago (Ñuñoa)","Palestino","Universidad Católica","0:1 (0:0)","","Espinosa  62'"
"7 de febrero de 2016, 19:30","Santa Laura, Santiago (Independencia)","Unión Española","Deportes Antofagasta","0:2 (0:1)","","Orlando  24' ,  67'"
"31 de enero de 2016, 17:00","San Carlos, Santiago (Las Condes)","Universidad Católica","Santiago Wanderers","4:2 (1:0)","Castillo  20' ,  59' ,  66'

Rojas  71'","Fernández  49'

Rosales  75'"
"9 de abril de 2016, 12:30","Municipal, Santiago (La Cisterna)","Palestino","Deportes Antofagasta","0:2 (0:1)","","Ciampichetti  29' ,  70'"
"3 de abril de 2016, 15:00","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","O'Higgins","0:2 (0:1)","","Calandria  6' ,  56'"
"23 de abril de 2016, 17:15","Julio Martínez Prádanos, Alto Hospicio","Deportes Iquique","Unión Española","2:3 (1:0)","Riquero  20'

Villalobos  75'","Churín  78'

Ampuero  85'

Harbottle  90+2'"
"5 de febrero de 2016, 19:30","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","O'Higgins","3:1 (1:1)","Fernández  36'

Muñoz  62'

Ramos  73'","Lezcano  1'"
"29 de febrero de 2016, 19:30","Lucio Fariña Fernández, Quillota","Unión La Calera","Santiago Wanderers","3:3 (2:1)","Arrúa  19'

Cereceda  36'  (pen.),  90+4'","Fernández  32'  (pen.),  83'

Muñoz  72'"
"23 de abril de 2016, 17:15","Municipal, Santiago (La Florida)","Audax Italiano","San Marcos de Arica","0:0","",""
"16 de enero de 2016, 22:00","Lucio Fariña Fernández, Quillota","San Luis","Cobresal","0:0","",""
"21 de febrero de 2016, 19:30","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Huachipato","3:0 (2:0)","Ciampichetti  33' ,  39'

Bolados  49'",""
"30 de enero de 2016, 17:00","Monumental, Santiago (Macul)","Colo-Colo","Cobresal","1:0 (0:0)","Figueroa  88'",""
"22 de enero de 2016, 21:00","Tierra de Campeones, Iquique","Deportes Iquique","Huachipato","1:1 (1:1)","Riquero  32'","Otero  45+3'"
"15 de febrero de 2016, 20:00","Municipal, Santiago (La Florida)","Audax Italiano","Unión La Calera","0:0","",""
"12 de marzo de 2016, 17:30","Municipal, Santiago (La Florida)","Audax Italiano","Cobresal","0:1 (0:1)","","Villagra  26'"
"30 de abril de 2016, 16:00","El Teniente, Rancagua","O'Higgins","Universidad de Concepción","1:2 (0:1)","Leal  73'","González  43'

Manríquez  53'"
"20 de marzo de 2016, 17:00","Lucio Fariña Fernández, Quillota","San Luis","San Marcos de Arica","1:1 (0:0)","Grondona  79'","González  55'"
"22 de febrero de 2016, 20:30","Ester Roa Rebolledo, Concepción","Universidad de Concepción","San Marcos de Arica","2:1 (1:1)","Meneses  35'

Huentelaf  78'","Barrios  15'"
"4 de marzo de 2016, 22:00","Lucio Fariña Fernández, Quillota","San Luis","Universidad de Concepción","2:2 (1:0)","Escobar  2'

Martorell  65'","Huentelaf  58'

Manríquez  82'  (pen.)"
"28 de febrero de 2016, 19:30","San Carlos, Santiago (Las Condes)","Universidad Católica","Huachipato","2:2 (2:1)","Llanos  42' ,  43'","Simón  35'

Vázquez  61'  (pen.)"
"6 de febrero de 2016, 22:00","El Cobre, El Salvador","Cobresal","Palestino","2:3 (1:1)","Fuentes  31'

Valenzuela  90+4'","Saavedra  25'

Farías  48'

Gutiérrez  84'"
"31 de enero de 2016, 19:30","El Teniente, Rancagua","O'Higgins","Deportes Iquique","0:0","",""
"18 de enero de 2016, 18:00","Municipal, Santiago (La Cisterna)","Palestino","Audax Italiano","2:1 (2:1)","Cisternas  25'

Meza  32'","Mora  19'"
"6 de febrero de 2016, 17:00","Nacional, Santiago (Ñuñoa)","Universidad de Chile","San Marcos de Arica","0:0","",""
"2 de abril de 2016, 12:30","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Universidad de Chile","5:4 (2:2)","Saldías  2' ,  4'

Muñoz  46' ,  51' ,  60'","Valencia  24' ,  79'

Ubilla  39'

Rubio  83'"
"20 de abril de 2016, 21:00","El Teniente, Rancagua","O'Higgins","San Luis","4:3 (1:1)","Calandria  12'

Viveros  48'  (a.g.)

Lezcano  68' ,  85'","Sirino  33'

Gómez  54'  (pen.)

Escobar  58'"
"24 de enero de 2016, 17:00","Nacional, Santiago (Ñuñoa)","Universidad de Chile","O'Higgins","8:1 (2:1)","Corujo  20'

Ubilla  38'

Lorenzetti  48' ,  52' ,  90+1'

Rubio  78'

Canales  80'

Leiva  88'","Lezcano  6'"
"9 de abril de 2016, 17:30","El Cobre, El Salvador","Cobresal","Huachipato","3:2 (2:1)","Sandoval  22' ,  55'

Oyaneder  34'","Otero  16'

Parot  59'"
"8 de febrero de 2016, 20:00","Lucio Fariña Fernández, Quillota","Unión La Calera","Huachipato","1:2 (0:0)","Oyarzún  74'","Otero  47'

Vázquez  68'"
"27 de febrero de 2016, 22:00","Carlos Dittborn, Arica","San Marcos de Arica","Deportes Antofagasta","0:2 (0:2)","","Ciampichetti  12'

Sánchez  44'"
"30 de abril de 2016, 16:00","Monumental, Santiago (Macul)","Colo-Colo","Santiago Wanderers","2:1 (1:0)","Tonso  34'

Delgado  90+3'","Muñoz  77'"
"15 de enero de 2016, 22:00","Carlos Dittborn, Arica","San Marcos de Arica","Santiago Wanderers","0:2 (0:1)","","Ramos  25'

Parra  86'"
"13 de marzo de 2016, 19:30","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Universidad de Concepción","1:3 (0:3)","Rubio  71'","Vargas  4' ,  21'

Herrera  29'  (a.g.)"
"30 de enero de 2016, 19:30","CAP, Talcahuano","Huachipato","Unión Española","3:3 (1:1)","Véjar  45'

Otero  52'

Vázquez  88'","Salom  28'

Churín  71'

Mirosevic  90+3'"
"20 de febrero de 2016, 22:00","Santa Laura, Santiago (Independencia)","Unión Española","San Luis","3:1 (1:1)","Berardo  29'

Churín  50'

López  67'","Currimilla  19'  (a.g.)"
"24 de enero de 2016, 19:30","Santa Laura, Santiago (Independencia)","Unión Española","Palestino","1:1 (0:0)","Harbottle  77'","Gutiérrez  47'"
"5 de marzo de 2016, 22:00","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Cobresal","3:1 (2:0)","Prieto  6'

Rosales  28'

Bravo  52'","Grbec  50'  (pen.)"
"26 de abril de 2016, 20:00","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Unión La Calera","2:2 (0:1)","Carmona  62'

Rodríguez  77'","Serrano  27'

Cereceda  74'  (pen.)"
"13 de marzo de 2016, 17:00","Carlos Dittborn, Arica","San Marcos de Arica","Colo-Colo","1:0 (1:0)","Defederico  18'",""
"13 de febrero de 2016, 22:00","Lucio Fariña Fernández, Quillota","San Luis","Deportes Iquique","3:1 (0:1)","Fiorina  53' ,  57'

Sirino  86'","Riquero  45+1'"
"29 de enero de 2016, 19:45","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Audax Italiano","1:2 (0:1)","Droguett  67'","Mora  42'

Drocco  75'  (pen.)"
"21 de febrero de 2016, 22:00","Tierra de Campeones, Iquique","Deportes Iquique","Cobresal","1:1 (0:0)","Bustamante  56'","Oyaneder  75'"
"27 de febrero de 2016, 17:00","Monumental, Santiago (Macul)","Colo-Colo","San Luis","2:0 (2:0)","Tonso  13'

Delgado  30'",""
"24 de abril de 2016, 15:00","Ester Roa Rebolledo, Concepción","Universidad de Concepción","Colo-Colo","0:2 (0:0)","","Fierro  58'

Carvallo  82'"
"6 de abril de 2016, 19:00","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Audax Italiano","2:2 (0:2)","Fernández  48'  (pen.)

Muñoz  68'","Mora  6' ,  9'"
"11 de abril de 2016, 20:00","Ester Roa Rebolledo, Concepción","Universidad de Concepción","Santiago Wanderers","1:0 (1:0)","Camargo  36'",""
"24 de abril de 2016, 15:00","El Cobre, El Salvador","Cobresal","O'Higgins","2:3 (1:1)","Sandoval  18'

Sarabia  72'  (pen.)","Acevedo  40'

Bulos  86'

Insaurralde  89'"
"2 de abril de 2016, 20:00","Lucio Fariña Fernández, Quillota","Unión La Calera","Palestino","1:1 (1:0)","Michelli  2'","Maturana  81'"
"6 de marzo de 2016, 17:00","Monumental, Santiago (Macul)","Colo-Colo","Universidad Católica","3:0 (3:0)","Tonso  8'

Zaldivia  12'

Valdés  37'",""
"10 de abril de 2016, 14:45","Lucio Fariña Fernández, Quillota","San Luis","Unión La Calera","3:1 (3:0)","Grondona  22'

González  26'

Sirino  31'","Arrúa  71'"
"14 de febrero de 2016, 17:00","Monumental, Santiago (Macul)","Colo-Colo","Deportes Antofagasta","2:1 (2:0)","Paredes  40'

Fierro  44'","Droguett  58'"
"30 de enero de 2016, 22:00","Carlos Dittborn, Arica","San Marcos de Arica","Unión La Calera","0:1 (0:0)","","Bascuñán  70'"
"7 de febrero de 2016, 17:00","Tierra de Campeones, Iquique","Deportes Iquique","Colo-Colo","0:0","",""
"1 de febrero de 2016, 18:00","Municipal, Santiago (La Cisterna)","Palestino","Universidad de Concepción","3:0 (1:0)","Campos  39'

Maturana  77'

Riquelme  90'",""
"13 de febrero de 2016, 19:30","El Cobre, El Salvador","Cobresal","Universidad de Concepción","1:0 (0:0)","Sarabia  55'",""
