fecha_hora,estadio_locaclidad,local,visita,resultado,goles local,goles_visita
"24 de octubre de 2015, 20:00","Nicolás Chahuán Nazar, La Calera","Unión La Calera","Cobresal","0:2 (0:1)","","López  35'

Fuentes  56'"
"13 de septiembre de 2015, 18:00","Lucio Fariña Fernández, Quillota","San Luis","Unión Española","0:4 (0:2)","","López  37'

Salom  45'

Ferreyra  77'  (pen.)

Galdames  90'"
"23 de septiembre de 2015, 20:00","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Cobresal","2:1 (0:0)","Canales  47'

Suárez  90+1'","Jerez  90+5'"
"5 de diciembre de 2015, 15:30","Municipal de Yumbel, Yumbel","Universidad de Concepción","O'Higgins","3:1 (2:1)","Vargas  8'

Troncoso  42'

Churín  90+3'","Calandria  16'  (pen.)"
"8 de agosto de 2015, 22:00","Carlos Dittborn, Arica","San Marcos de Arica","Cobresal","1:2 (0:0)","Gularte  89'","Abarca  62'  (a.g.)

Cantero  73'"
"30 de noviembre de 2015, 21:00","El Teniente, Rancagua","O'Higgins","Cobresal","2:0 (1:0)","Calandria  39' ,  55'",""
"25 de octubre de 2015, 18:00","San Carlos, Santiago (Las Condes)","Universidad Católica","Palestino","2:0 (1:0)","Vargas  12'

Magnasco  64'",""
"9 de agosto de 2015, 17:30","Monumental, Santiago (Macul)","Colo-Colo","Audax Italiano","4:1 (3:0)","Fierro  3'

Paredes  8'  (pen.)

Vecchio  20'

Pavez  58'","Campos López  86'"
"23 de agosto de 2015, 17:30","Monumental, Santiago (Macul)","Colo-Colo","Deportes Iquique","1:0 (0:0)","Suazo  78'",""
"5 de diciembre de 2015, 15:30","Municipal, Santiago (La Cisterna)","Palestino","San Marcos de Arica","1:0 (0:0)","Riquelme  79'",""
"26 de julio de 2015, 17:00","Tierra de Campeones, Iquique","Deportes Iquique","Universidad Católica","0:2 (0:1)","","Rojas  1'

Llanos  62'"
"18 de octubre de 2015, 15:00","CAP, Talcahuano","Universidad de Concepción","Universidad de Chile","4:1 (2:1)","Vargas  7'

De la Fuente  40'

Manríquez  81'

Lepe  90+4'","Benegas  10'"
"18 de octubre de 2015, 17:30","Monumental, Santiago (Macul)","Colo-Colo","San Marcos de Arica","0:1 (0:0)","","Bubas  70'"
