Competition,Country,Club(s),Squad,Age,Foreign players,Total market value,ø Market value
Liga Águila I,Colombia,Deportivo Cali,26,"25,8",3,"15,75 Mill. €",606 Th. €
Liga Águila I,Colombia,CD América de Cali,29,"29,2",4,"13,28 Mill. €",458 Th. €
Liga Águila I,Colombia,Once Caldas,25,"26,1",2,"11,88 Mill. €",475 Th. €
Liga Águila I,Colombia,Atlético Bucaramanga,23,"27,6",3,"11,68 Mill. €",508 Th. €
Liga Águila I,Colombia,Deportivo Pasto,28,"28,2",4,"11,50 Mill. €",411 Th. €
Liga Águila I,Colombia,CD La Equidad,28,"27,7",3,"11,23 Mill. €",401 Th. €
Liga Águila I,Colombia,Rionegro Águilas,26,"27,8",4,"11,15 Mill. €",429 Th. €
Liga Águila I,Colombia,Boyacá Patriotas FC,29,"25,3",6,"9,90 Mill. €",341 Th. €
Liga Águila I,Colombia,Cortuluá,31,"24,3",1,"8,58 Mill. €",277 Th. €
Liga Águila I,Colombia,Alianza Petrolera,25,"25,7",3,"8,10 Mill. €",324 Th. €
Liga Águila I,Colombia,CD Atlético Huila,27,"26,5",4,"7,85 Mill. €",291 Th. €
Liga Águila I,Colombia,Jaguares de Córdoba,30,"27,5",3,"7,73 Mill. €",258 Th. €
Liga Águila I,Colombia,Tigres FC,32,"26,5",0,"5,85 Mill. €",183 Th. €
Liga Águila I,Colombia,Envigado FC,26,"22,0",4,"5,15 Mill. €",198 Th. €
Serie A Primera Etapa,Ecuador,Barcelona SC Guayaquil Ecuadorian Champion 2016,32,"25,7",5,"22,53 Mill. €",704 Th. €
Serie A Primera Etapa,Ecuador,CS Emelec,29,"26,2",4,"19,45 Mill. €",671 Th. €
Serie A Primera Etapa,Ecuador,LDU Quito,28,"26,0",4,"15,80 Mill. €",564 Th. €
Serie A Primera Etapa,Ecuador,Independiente del Valle,28,"24,1",3,"13,55 Mill. €",484 Th. €
Serie A Primera Etapa,Ecuador,CD Universidad Católica,23,"24,8",7,"12,93 Mill. €",562 Th. €
Serie A Primera Etapa,Ecuador,Delfín SC,29,"25,4",4,"11,00 Mill. €",379 Th. €
Serie A Primera Etapa,Ecuador,CD River Plate Ecuador,34,"26,0",4,"10,85 Mill. €",319 Th. €
Serie A Primera Etapa,Ecuador,CD El Nacional,27,"25,3",0,"9,75 Mill. €",361 Th. €
Serie A Primera Etapa,Ecuador,Deportivo Cuenca,29,"24,9",4,"8,90 Mill. €",307 Th. €
Serie A Primera Etapa,Ecuador,CD Clan Juvenil  ,38,"28,6",4,"8,80 Mill. €",232 Th. €
Serie A Primera Etapa,Ecuador,Fuerza Amarilla SC,29,"28,0",6,"6,78 Mill. €",234 Th. €
Serie A Primera Etapa,Ecuador,CSD Macará  ,28,"26,6",5,"5,30 Mill. €",189 Th. €
Primera División,Chile,CD Universidad Católica Chilean Champion 15/16,27,"27,7",7,"14,93 Mill. €",553 Th. €
Primera División,Chile,Club Universidad de Chile,30,"25,7",7,"14,80 Mill. €",493 Th. €
Primera División,Chile,CSD Colo Colo Chilean Champion 15/16,27,"27,9",7,"13,98 Mill. €",518 Th. €
Primera División,Chile,Unión Española,27,"25,3",5,"9,33 Mill. €",345 Th. €
Primera División,Chile,CD Everton,30,"25,1",8,"8,93 Mill. €",298 Th. €
Primera División,Chile,Universidad Concepción,27,"27,0",9,"8,58 Mill. €",318 Th. €
Primera División,Chile,CD O'Higgins,26,"25,7",4,"8,28 Mill. €",318 Th. €
Primera División,Chile,Club de Deportes Antofagasta,34,"25,4",4,"7,90 Mill. €",232 Th. €
Primera División,Chile,CD Palestino,26,"25,5",7,"7,68 Mill. €",295 Th. €
Primera División,Chile,Audax Italiano,27,"26,1",6,"7,65 Mill. €",283 Th. €
Primera División,Chile,Huachipato FC,26,"23,0",6,"6,95 Mill. €",267 Th. €
Primera División,Chile,Santiago Wanderers,27,"24,4",5,"6,28 Mill. €",232 Th. €
Primera División,Chile,CD San Luis de Quillota,26,"26,8",5,"6,03 Mill. €",232 Th. €
Primera División,Chile,Club Deportes Iquique,32,"25,4",6,"5,78 Mill. €",180 Th. €
Primera División,Chile,CD Cobresal,32,"26,8",6,"5,18 Mill. €",162 Th. €
Primera División,Chile,Deportes Temuco,28,"26,7",4,"4,40 Mill. €",157 Th. €
Primera División,Uruguay,Club Nacional Uruguayan Champion 15/16,29,"26,2",2,"20,83 Mill. €",718 Th. €
Primera División,Uruguay,CA Peñarol Uruguayan Champion 15/16,29,"24,4",3,"20,70 Mill. €",714 Th. €
Primera División,Uruguay,Liverpool FC Montevideo,29,"23,1",0,"9,20 Mill. €",317 Th. €
Primera División,Uruguay,Danubio FC,31,"24,9",5,"9,13 Mill. €",294 Th. €
Primera División,Uruguay,Atletico River Plate Montevideo,29,"25,4",2,"8,70 Mill. €",300 Th. €
Primera División,Uruguay,Defensor Sporting Club,27,"24,6",1,"8,55 Mill. €",317 Th. €
Primera División,Uruguay,Montevideo Wanderers,28,"24,0",0,"7,78 Mill. €",278 Th. €
Primera División,Uruguay,CA Cerro,29,"27,1",4,"6,73 Mill. €",232 Th. €
Primera División,Uruguay,Racing Club de Montevideo,21,"25,4",1,"6,40 Mill. €",305 Th. €
Primera División,Uruguay,CA Fénix,31,"24,5",4,"6,00 Mill. €",194 Th. €
Primera División,Uruguay,Club Plaza Colonia,29,"24,1",0,"5,78 Mill. €",199 Th. €
Primera División,Uruguay,Juventud de Las Piedras,29,"24,8",1,"5,78 Mill. €",199 Th. €
Primera División,Uruguay,Rampla Juniors FC  ,30,"24,9",0,"5,58 Mill. €",186 Th. €
Primera División,Uruguay,Club Atlético Boston River  ,30,"25,6",2,"5,55 Mill. €",185 Th. €
Primera División,Uruguay,IA Sud America Montevideo,26,"24,8",4,"5,03 Mill. €",193 Th. €
Primera División,Uruguay,El Tanque Sisley  ,30,"26,8",3,"4,70 Mill. €",157 Th. €
Descentralizado Apertura,Peru,FBC Melgar,32,"25,7",4,"8,98 Mill. €",280 Th. €
Descentralizado Apertura,Peru,Universitario de Deportes,29,"26,9",5,"8,78 Mill. €",303 Th. €
Descentralizado Apertura,Peru,Sporting Cristal Lima Peruvian Champion 2016,25,"25,5",7,"8,53 Mill. €",341 Th. €
Descentralizado Apertura,Peru,Deportivo Municipal,28,"24,7",6,"7,13 Mill. €",254 Th. €
Descentralizado Apertura,Peru,Real Garcilaso,33,"25,7",5,"6,90 Mill. €",209 Th. €
Descentralizado Apertura,Peru,Universidad San Martín de Porres,31,"22,6",4,"5,70 Mill. €",184 Th. €
