fecha_hora,estadio_locaclidad,local,visita,resultado,goles local,goles_visita
"21 de mayo de 2017, 12:00","Municipal, Santiago (La Cisterna)",Palestino,Everton,1:0 (1:0),Mazurek  15',
"19 de marzo de 2017, 17:00","El Cobre, El Salvador",Cobresal,Universidad Católica,1:2 (1:0),Poblete  38',"Buonanotte  61'

Lanaro  84'"
"6 de mayo de 2017, 12:00","Municipal, Santiago (La Cisterna)",Palestino,O'Higgins,1:1 (1:1),Pinto  17',Calandria  33'
"5 de febrero de 2017, 12:00","Cavancha, Iquique",Deportes Iquique,Universidad de Chile,2:0 (0:0),"Charles  54'

Torres  74'",
"20 de marzo de 2017, 18:30","Germán Becker, Temuco",Deportes Temuco,Audax Italiano,1:1 (0:1),Campana  64',Riquelme  8'
"1 de abril de 2017, 12:00","Ester Roa Rebolledo, Concepción",Universidad de Concepción,Universidad de Chile,0:00,,
"7 de mayo de 2017, 17:15","Huachipato-CAP Acero, Talcahuano",Huachipato,Universidad Católica,2:1 (1:1),"González  43'

Hidalgo  79'",Espinoza  6'
"5 de febrero de 2017, 17:30","Municipal, Santiago (La Cisterna)",Palestino,Universidad de Concepción,1:2 (0:2),Camargo  76'  (a.g.),"Benítez  21'

Tarifeño  45+1'"
"4 de febrero de 2017, 20:30","Municipal, Santiago (La Florida)",Audax Italiano,Cobresal,2:0 (2:0),"Vallejos  13'

Riquelme  35'",
"4 de marzo de 2017, 12:00","Sausalito, Viña del Mar",Everton,Santiago Wanderers,2:2 (2:0),"Becerra  4' ,  38'","Valenzuela  52'

Parra  58'"
"29 de abril de 2017, 12:00","San Carlos, Santiago (Las Condes)",Universidad Católica,Universidad de Chile,3:1 (1:1),"Gutiérrez  18' ,  74'

Fuenzalida  76'",Mora  8'  (pen.)
"4 de febrero de 2017, 18:00","Santa Laura, Santiago (Independencia)",Unión Española,Colo-Colo,0:3 (0:2),,"Fernández  14'

Vilches  24'

Paredes  53'"
"6 de marzo de 2017, 20:30","El Teniente, Rancagua",O'Higgins,Universidad de Concepción,1:1 (1:1),Insaurralde  22',Manríquez  2'  (pen.)
"29 de abril de 2017, 20:30","Santa Laura, Santiago (Independencia)",Unión Española,Everton,2:1 (0:0),"Jaime  56'

Domínguez  62'",Orellana  74'
"4 de marzo de 2017, 20:30","El Cobre, El Salvador",Cobresal,Deportes Temuco,1:2 (1:0),Grondona  33'  (pen.),"López  78'

Martínez  89'"
"20 de mayo de 2017, 15:00","Nacional, Santiago (Ñuñoa)",Universidad de Chile,San Luis,1:0 (1:0),Mora  21',
"5 de mayo de 2017, 18:00","Ester Roa Rebolledo, Concepción",Universidad de Concepción,Unión Española,0:00,,
"11 de marzo de 2017, 20:00","San Carlos, Santiago (Las Condes)",Universidad Católica,Deportes Antofagasta,4:1 (2:0),"Cordero  37'

Silva  40'  (pen.),  48'

Álvarez  90+2'  (pen.)",Salinas  62'
"14 de febrero de 2017, 19:00","Germán Becker, Temuco",Deportes Temuco,Huachipato,1:0 (1:0),Aceval  26',
"2 de abril de 2017, 15:30","Huachipato-CAP Acero, Talcahuano",Huachipato,San Luis,3:2 (1:2),"González  12' ,  87'

Robles  90+1'","Sagredo  4'

Escobar  22'"
"11 de febrero de 2017, 18:00","El Teniente, Rancagua",O'Higgins,Unión Española,2:0 (0:0),"Rolle  73'

Insaurralde  77'",
"29 de abril de 2017, 18:00","Elías Figueroa Brander, Valparaíso",Santiago Wanderers,Deportes Iquique,1:1 (0:1),Valenzuela  76',Ramos  30'
"20 de marzo de 2017, 21:00","El Teniente, Rancagua",O'Higgins,Deportes Iquique,1:1 (0:0),Acevedo  49',Villalobos  83'
"28 de abril de 2017, 20:00","Ester Roa Rebolledo, Concepción",Universidad de Concepción,Deportes Temuco,1:0 (0:0),Alarcón  49',
"12 de febrero de 2017, 20:30","Ester Roa Rebolledo, Concepción",Universidad de Concepción,Santiago Wanderers,1:0 (1:0),Ponce  26'  (pen.),
"6 de mayo de 2017, 18:00","Municipal, Santiago (La Florida)",Audax Italiano,Santiago Wanderers,3:0 (1:0),"Carrasco  44'

Delgado  47'

Cortés  90'",
"10 de marzo de 2017, 21:00","Ester Roa Rebolledo, Concepción",Universidad de Concepción,San Luis,3:0 (3:0),"Manríquez  10' ,  29'

Mencia  45+2'",
"29 de abril de 2017, 15:30","El Cobre, El Salvador",Cobresal,Huachipato,3:2 (2:1),"Poblete  7'

Cantero  35' ,  87'","Povea  41'

Sagal  59'"
"19 de marzo de 2017, 19:30","Nacional, Santiago (Ñuñoa)",Universidad de Chile,Unión Española,2:1 (1:1),"Mora  10'

Ubilla  87'",Churín  29'
"14 de mayo de 2017, 15:00","Monumental, Santiago (Macul)",Colo-Colo,Deportes Antofagasta,1:1 (1:0),Rivero  22',Villagra  87'
"19 de febrero de 2017, 12:00","Calvo y Bascuñán, Antofagasta",Deportes Antofagasta,Universidad de Concepción,5:0 (1:0),"Carvallo  42'

Agote  60'

Sandoval  75'

Harbottle  88'

Ciampichetti  90+1'",
"3 de marzo de 2017, 16:30","Cavancha, Iquique",Deportes Iquique,Audax Italiano,2:2 (0:1),"Torres  54'

Bielkiewicz  64'","Vallejos  17'

Melivilú  73'"
"22 de abril de 2017, 15:30","Nacional, Santiago (Ñuñoa)",Universidad de Chile,Santiago Wanderers,2:0 (2:0),"Leiva  8'

Mora  40'",
"14 de mayo de 2017, 15:00","El Teniente, Rancagua",O'Higgins,Universidad de Chile,0:3 (0:1),,"Lorenzetti  32'

Monzón  62'

Mora  86'"
"26 de febrero de 2017, 18:00","Elías Figueroa Brander, Valparaíso",Santiago Wanderers,San Luis,0:3 (0:3),,"Fiorina  3' ,  5'

Ramírez  35'"
"7 de mayo de 2017, 12:00","Sausalito, Viña del Mar",Everton,Colo-Colo,2:3 (1:1),"Ragusa  44'

Becerra  90+1'","Paredes  19'

Fernández  85'

Gonzales  90+5'"
"15 de marzo de 2017, 20:00","Elías Figueroa Brander, Valparaíso",Santiago Wanderers,O'Higgins,1:2 (1:1),Terans  45',"Fontanini  3'

Insaurralde  90+1'"
"18 de marzo de 2017, 18:30","Monumental, Santiago (Macul)",Colo-Colo,Huachipato,0:00,,
"5 de mayo de 2017, 20:30","Nacional, Santiago (Ñuñoa)",Universidad de Chile,Cobresal,4:0 (3:0),"Espinoza  2'

Beausejour  12'

Rodríguez  30'

Mora  67'",
"12 de marzo de 2017, 18:00","Municipal, Santiago (La Florida)",Audax Italiano,Universidad de Chile,0:3 (0:1),,"Mora  5' ,  47' ,  90+1'"
"22 de abril de 2017, 18:00","Germán Becker, Temuco",Deportes Temuco,Deportes Antofagasta,2:0 (1:0),"Campana  22'

Martínez  69'",
"17 de febrero de 2017, 19:30","Huachipato-CAP Acero, Talcahuano",Huachipato,Universidad de Chile,2:1 (0:1),"Sepúlveda  56'  (pen.)

Sagal  60'",Benegas  7'
"25 de febrero de 2017, 18:00","Nacional, Santiago (Ñuñoa)",Universidad de Chile,Everton,0:00,,
