Key2,Pos,Club,PJ,PG,PE,PP,GFC,Dif,PTS,Group,Year,Key,Club2,Pais,Fecha_value,value_raw,Value,clas,Mean,Sd,Value2,Value_centered,clas_factor
2015 7,2,estudiantes de la planta,6,3,1,2,7:03,4,10,7,2015,estudiantes de la planta 2015,estudiantes de la plata,Argentina,15-02-2015,"24,90 Mill. €",24.9,1,19.52,9.03778734,0.595278446,5.38,SI
2015 7,3,libertad,6,2,2,2,5:08,-3,8,7,2015,libertad 2015,libertad,Paraguay,15-02-2015,7.58,7.58,0,19.52,9.03778734,-1.321119822,-11.94,NO
2015 7,4,barcelona sc,6,1,1,4,5:11,-6,4,7,2015,barcelona sc 2015,barcelona sc guayaquil,Ecuador,15-02-2015,"27,90 Mill. €",27.9,0,19.52,9.03778734,0.927218099,8.38,NO
2015 8,1,racing de avellaneda,6,4,0,2,15:07,8,12,8,2015,racing de avellaneda 2015,racing  de avellaneda,Argentina,15-02-2015,"20,38 Mill. €",20.38,1,8.98,7.880355322,1.446635276,11.4,SI
2015 8,2,guarani,6,2,3,1,12:10,2,9,8,2015,guarani 2015,guarani,Paraguay,15-02-2015,5.28,5.28,1,8.98,7.880355322,-0.469521976,-3.7,SI
2015 8,3,sport. cristal,6,1,4,1,6:07,-1,7,8,2015,sport. cristal 2015,sporting cristal,Peru,15-02-2015,7.68,7.68,0,8.98,7.880355322,-0.164967181,-1.3,NO
2015 8,4,deportivo tachira,6,0,3,3,6:15,-9,3,8,2015,deportivo tachira 2015,deportivo tachira,Venezuela,15-02-2015,"2,58 Mill. €",2.58,0,8.98,7.880355322,-0.81214612,-6.4,NO
2016 1,1,river plate,6,3,2,1,17:07,10,11,1,2016,river plate 2016,river plate,Argentina,15-02-2016,"80,13 Mill. €",80.13,1,38.44,42.52706354,0.980316921,41.69,SI
2016 1,2,sao paulo,6,2,3,1,11:05,6,9,1,2016,sao paulo 2016,sao paulo futebol e,Brasil,15-02-2016,"70,05 Mill. €",70.05,1,38.44,42.52706354,0.743291386,31.61,SI
2016 1,3,the strongest,6,2,2,2,6:11,-5,8,1,2016,the strongest 2016,the strongest,Bolivia,15-02-2016,2.78,2.78,0,38.44,42.52706354,-0.83852486,-35.66,NO
2016 1,4,trujillanos,6,1,1,4,7:18,-11,4,1,2016,trujillanos 2016,trujillanos fc,Venezuela,15-02-2016,800 Th. €,0.8,0,38.44,42.52706354,-0.885083447,-37.64,NO
2016 2,1,rosario central,6,3,2,1,13:08,5,11,2,2016,rosario central 2016,rosario central,Argentina,15-02-2016,"34,48 Mill. €",34.48,1,35.165,28.7254237,-0.023846472,-0.685,SI
2016 2,2,nacional,6,2,3,1,6:06,0,9,2,2016,nacional 2016, nacional,Uruguay,15-02-2016,"18,78 Mill. €",18.78,1,35.165,28.7254237,-0.570400638,-16.385,SI
2016 2,3,palmeiras,6,2,2,2,12:08,4,8,2,2016,palmeiras 2016,palmeiras,Brasil,15-02-2016,"75,80 Mill. €",75.8,0,35.165,28.7254237,1.414600544,40.635,NO
2016 2,4,river plate uruguay,6,0,3,3,6:15,-9,3,2,2016,river plate uruguay 2016,river plate,Uruguay,15-02-2016,11.6,11.6,0,35.165,28.7254237,-0.820353435,-23.565,NO
2016 3,1,boca juniors,6,3,3,0,11:04,7,12,3,2016,boca juniors 2016, boca juniors,Argentina,15-02-2016,"84,90 Mill. €",84.9,1,34.3075,37.282975,1.356986667,50.5925,SI
2016 3,2,racing de avellaneda,6,2,3,1,11:07,4,9,3,2016,racing de avellaneda 2016,racing  de avellaneda,Argentina,15-02-2016,"39,90 Mill. €",39.9,1,34.3075,37.282975,0.150001442,5.5925,SI
2016 3,3,bolivar,6,1,3,2,10:10,0,6,3,2016,bolivar 2016,bolivar,Bolivia,15-02-2016,6.85,6.85,0,34.3075,37.282975,-0.736462152,-27.4575,NO
2016 3,4,deportivo cali,6,0,3,3,7:18,-11,3,3,2016,deportivo cali 2016,deportivo cali,Colombia,15-02-2016,"5,58 Mill. €",5.58,0,34.3075,37.282975,-0.770525957,-28.7275,NO
2016 4,1,atletico nacional,6,5,1,0,12:00,12,16,4,2016,atletico nacional 2016,atletico nacional,Colombia,15-02-2016,"20,30 Mill. €",20.3,1,16.995,5.787322351,0.571075845,3.305,SI
2016 4,2,huracan,6,2,2,2,7:07,0,8,4,2016,huracan 2016,huracan,Argentina,15-02-2016,"21,63 Mill. €",21.63,1,16.995,5.787322351,0.800888514,4.635,SI
2016 4,3,penarol,6,1,2,3,5:11,-6,5,4,2016,penarol 2016,penarol,Uruguay,15-02-2016,"17,30 Mill. €",17.3,0,16.995,5.787322351,0.052701402,0.305,NO
2016 4,4,sport. cristal,6,1,1,4,9:15,-6,4,4,2016,sport. cristal 2016,sporting cristal,Peru,15-02-2016,8.75,8.75,0,16.995,5.787322351,-1.424665761,-8.245,NO
2016 5,1,atletico mineiro,6,4,1,1,12:04,8,13,5,2016,atletico mineiro 2016,atletico mineiro,Brasil,15-02-2016,"60,15 Mill. €",60.15,1,25.69,23.11030362,1.491109791,34.46,SI
2016 5,2,independiente del valle,6,3,2,1,7:04,3,11,5,2016,independiente del valle 2016,independiente del valle,Ecuador,15-02-2016,"17,45 Mill. €",17.45,1,25.69,23.11030362,-0.356550919,-8.24,SI
2016 5,3,colo colo,6,2,3,1,4:05,-1,9,5,2016,colo colo 2016,colo colo,Chile,15-02-2016,"13,83 Mill. €",13.83,0,25.69,23.11030362,-0.513191008,-11.86,NO
2016 5,4,fbc melgar,6,0,0,6,2:12,-10,0,5,2016,fbc melgar 2016,melgar,Peru,15-02-2016,11.33,11.33,0,25.69,23.11030362,-0.621367864,-14.36,NO
2016 6,1,toluca,6,4,1,1,9:05,4,13,6,2016,toluca 2016,toluca,Mexico,15-02-2016,"31,90 Mill. €",31.9,1,40.345,17.76885196,-0.475269872,-8.445,SI
2016 6,2,gremio,6,3,2,1,10:06,4,11,6,2016,gremio 2016,gremio ,Brasil,15-02-2016,"63,68 Mill. €",63.68,1,40.345,17.76885196,1.313253104,23.335,SI
2016 6,3,san lorenzo,6,0,4,2,5:08,-3,4,6,2016,san lorenzo 2016,san lorenzo,Argentina,15-02-2016,"43,40 Mill. €",43.4,0,40.345,17.76885196,0.171930072,3.055,NO
2016 6,4,ldu quito,6,1,1,4,7:12,-5,4,6,2016,ldu quito 2016,ldu quito,Ecuador,15-02-2016,"22,40 Mill. €",22.4,0,40.345,17.76885196,-1.009913304,-17.945,NO
2016 7,1,pumas,6,5,0,1,17:08,9,15,7,2016,pumas 2016,pumas,Mexico,15-02-2016,"32,60 Mill. €",32.6,1,17.695,12.92407701,1.153273846,14.905,SI
2016 7,2,deportivo tachira,6,3,0,3,6:11,-5,9,7,2016,deportivo tachira 2016,deportivo tachira,Venezuela,15-02-2016,"1,93 Mill. €",1.93,1,17.695,12.92407701,-1.219816315,-15.765,SI
2016 7,3,olimpia,6,2,1,3,12:12,0,7,7,2016,olimpia 2016,olimpia,Paraguay,15-02-2016,14.25,14.25,0,17.695,12.92407701,-0.266556753,-3.445,NO
2016 7,4,cs emelec,6,1,1,4,10:14,-4,4,7,2016,cs emelec 2016,cs emelec,Ecuador,15-02-2016,"22,00 Mill. €",22,0,17.695,12.92407701,0.333099222,4.305,NO
2016 8,1,corinthians,6,4,1,1,13:04,9,13,8,2016,corinthians 2016,corinthians,Brasil,15-02-2016,"62,70 Mill. €",62.7,1,23.595,26.67345309,1.4660644,39.105,SI
2016 8,2,cerro porteno,6,3,1,2,6:07,-1,10,8,2016,cerro porteno 2016,cerro porteno,Paraguay,15-02-2016,17.25,17.25,1,23.595,26.67345309,-0.237876962,-6.345,SI
2016 8,3,independiente santa fe,6,2,2,2,6:04,2,8,8,2016,independiente santa fe 2016,independiente santa fe,Colombia,15-02-2016,"10,98 Mill. €",10.98,0,23.595,26.67345309,-0.47294214,-12.615,NO
2016 8,4,cobresal,6,1,0,5,4:14,-10,3,8,2016,cobresal 2016,cobresal,Chile,15-02-2016,3.45,3.45,0,23.595,26.67345309,-0.755245297,-20.145,NO
2017 1,1,botafogo,6,3,1,2,6:05,1,10,1,2017,botafogo 2017,botafogo,Brasil,01-03-2017,"29,40 Mill. €",29.4,1,28.37,4.895092781,0.210414806,1.03,SI
2017 1,2,barcelona sc,6,3,1,2,8:08,0,10,1,2017,barcelona sc 2017,barcelona sc guayaquil,Ecuador,01-03-2017,"22,03 Mill. €",22.03,1,28.37,4.895092781,-1.295174634,-6.34,SI
2017 1,3,estudiantes de la planta,6,3,0,3,7:08,-1,9,1,2017,estudiantes de la planta 2017,estudiantes de la plata,Argentina,01-03-2017,"33,90 Mill. €",33.9,0,28.37,4.895092781,1.129702796,5.53,NO
2017 1,4,atletico nacional,6,2,0,4,8:08,0,6,1,2017,atletico nacional 2017,atletico nacional,Colombia,01-03-2017,"28,15 Mill. €",28.15,0,28.37,4.895092781,-0.044942968,-0.22,NO
2017 2,1,santos fc,6,3,3,0,11:04,7,12,2,2017,santos fc 2017,santos fc,Brasil,01-03-2017,"47,13 Mill. €",47.13,1,21.04,19.29704122,1.352020742,26.09,SI
2017 2,2,the strongest,6,2,3,1,9:05,4,9,2,2017,the strongest 2017,the strongest,Bolivia,01-03-2017,4.35,4.35,1,21.04,19.29704122,-0.864899432,-16.69,SI
2017 2,3,independiente santa fe,6,2,2,2,8:06,2,8,2,2017,independiente santa fe 2017,independiente santa fe,Colombia,01-03-2017,"23,88 Mill. €",23.88,0,21.04,19.29704122,0.147172821,2.84,NO
2017 2,4,sport. cristal,6,0,2,4,2:15,-13,2,2,2017,sport. cristal 2017,sporting cristal,Peru,01-03-2017,8.8,8.8,0,21.04,19.29704122,-0.634294131,-12.24,NO
2017 3,1,river plate,6,4,1,1,14:09,5,13,3,2017,river plate 2017,river plate,Argentina,01-03-2017,"71,25 Mill. €",71.25,1,31.42,27.19568471,1.46457059,39.83,SI
2017 3,2,cs emelec,6,3,1,2,8:05,3,10,3,2017,cs emelec 2017,cs emelec,Ecuador,01-03-2017,"19,60 Mill. €",19.6,1,31.42,27.19568471,-0.434627777,-11.82,SI
2017 3,3,independiente medellin,6,3,0,3,8:08,0,9,3,2017,independiente medellin 2017,independiente medellin,Colombia,01-03-2017,"24,50 Mill. €",24.5,0,31.42,27.19568471,-0.254452134,-6.92,NO
2017 3,4,fbc melgar,6,1,0,5,6:14,-8,3,3,2017,fbc melgar 2017,melgar,Peru,01-03-2017,10.33,10.33,0,31.42,27.19568471,-0.775490679,-21.09,NO
2017 4,1,san lorenzo,6,3,1,2,8:08,0,10,4,2017,san lorenzo 2017,san lorenzo,Argentina,01-03-2017,"33,55 Mill. €",33.55,1,36.5475,17.49153772,-0.171368581,-2.9975,SI
2017 4,2,atletico paranaense,6,3,1,2,9:10,-1,10,4,2017,atletico paranaense 2017,atletico paranaense,Brasil,01-03-2017,"40,53 Mill. €",40.53,1,36.5475,17.49153772,0.227681526,3.9825,SI
2017 4,3,flamengo,6,3,0,3,11:07,4,9,4,2017,flamengo 2017,flamengo,Brasil,01-03-2017,"57,18 Mill. €",57.18,0,36.5475,17.49153772,1.179570392,20.6325,NO
2017 4,4,universidad catolica,6,1,2,3,8:11,-3,5,4,2017,universidad catolica 2017,universidad catolica,Chile,01-03-2017,"14,93 Mill. €",14.93,0,36.5475,17.49153772,-1.235883337,-21.6175,NO
2017 5,1,palmeiras,6,4,1,1,13:09,4,13,5,2017,palmeiras 2017,palmeiras,Brasil,01-03-2017,"63,28 Mill. €",63.28,1,25.79,25.88003349,1.44860709,37.49,SI
2017 5,2,wilstermann,6,3,0,3,12:10,2,9,5,2017,wilstermann 2017,wilstermann,Bolivia,01-03-2017,4.5,4.5,1,25.79,25.88003349,-0.822641903,-21.29,SI
2017 5,3,atletico tucuman,6,2,1,3,8:10,-2,7,5,2017,atletico tucuman 2017, atletico tucuman,Argentina,01-03-2017,"14,58 Mill. €",14.58,0,25.79,25.88003349,-0.433152453,-11.21,NO
2017 5,4,penarol,6,2,0,4,11:15,-4,6,5,2017,penarol 2017,penarol,Uruguay,01-03-2017,"20,80 Mill. €",20.8,0,25.79,25.88003349,-0.192812734,-4.99,NO
2017 6,1,atletico mineiro,6,4,1,1,17:06,11,13,6,2017,atletico mineiro 2017,atletico mineiro,Brasil,01-03-2017,"68,50 Mill. €",68.5,1,25.92,28.93913037,1.471364186,42.58,SI
2017 6,2,godoy cruz,6,3,2,1,10:08,2,11,6,2017,godoy cruz 2017, godoy cruz,Argentina,01-03-2017,"17,73 Mill. €",17.73,1,25.92,28.93913037,-0.283007813,-8.19,SI
2017 6,3,libertad,6,1,3,2,7:09,-2,6,6,2017,libertad 2017,libertad,Paraguay,01-03-2017,13.25,13.25,0,25.92,28.93913037,-0.437815506,-12.67,NO
2017 6,4,sport boys,6,0,2,4,8:19,-11,2,6,2017,sport boys 2017,sport boys,Bolivia,01-03-2017,4.2,4.2,0,25.92,28.93913037,-0.750540867,-21.72,NO
2017 7,1,lanus,6,4,1,1,13:03,10,13,7,2017,lanus 2017, lanus,Argentina,01-03-2017,"31,38 Mill. €",31.38,1,20.4025,10.18813485,1.077478868,10.9775,SI
2017 7,2,nacional,6,2,2,2,5:03,2,8,7,2017,nacional 2017, nacional,Uruguay,01-03-2017,"21,35 Mill. €",21.35,1,20.4025,10.18813485,0.09300034,0.9475,SI
2017 7,3,chapecoense,6,2,1,3,6:12,-6,7,7,2017,chapecoense 2017,chapecoense,Brasil,01-03-2017,"22,15 Mill. €",22.15,0,20.4025,10.18813485,0.171523054,1.7475,NO
2017 7,4,zulia fc,6,1,2,3,4:10,-6,5,7,2017,zulia fc 2017,zulia fc,Venezuela,01-03-2017,"6,73 Mill. €",6.73,0,20.4025,10.18813485,-1.342002261,-13.6725,NO
2017 8,1,gremio,6,4,1,1,15:06,9,13,8,2017,gremio 2017,gremio ,Brasil,01-03-2017,"54,18 Mill. €",54.18,1,18.91,23.53501505,1.49861812,35.27,SI
2017 8,2,guarani,6,3,2,1,9:07,2,11,8,2017,guarani 2017,guarani,Paraguay,01-03-2017,8.18,8.18,1,18.91,23.53501505,-0.455916428,-10.73,SI
2017 8,3,deportes iquique,6,3,1,2,12:09,3,10,8,2017,deportes iquique 2017, deportes iquique,Chile,01-03-2017,"5,78 Mill. €",5.78,0,18.91,23.53501505,-0.557892144,-13.13,NO
2017 8,4,zamora,6,0,0,6,6:20,-14,0,8,2017,zamora 2017,zamora fc,Venezuela,01-03-2017,"7,50 Mill. €",7.5,0,18.91,23.53501505,-0.484809548,-11.41,NO
