fecha_hora,estadio_locaclidad,local,visita,resultado,goles local,goles_visita
"29 de octubre de 2016, 12:00","Cavancha, Iquique","Deportes Iquique","Santiago Wanderers","3:0 (0:0)","Torres  57' ,  65'

Ramos  81'",""
"13 de agosto de 2016, 20:30","Ester Roa Rebolledo, Concepción","Universidad de Concepción","Everton","2:2 (0:2)","Pacheco  71'

Meneses  84'","Romo  13' ,  39'"
"29 de agosto de 2016, 19:30","Sausalito, Viña del Mar","Everton","Palestino","1:2 (0:1)","Cerato  63'  (pen.)","Valencia  32' ,  90+1'"
"16 de octubre de 2016, 18:00","Nacional, Santiago (Ñuñoa)","Universidad de Chile","O'Higgins","0:0","",""
"8 de diciembre de 2016, 18:00","Santa Laura, Santiago (Independencia)","Unión Española","San Luis","1:0 (1:0)","Salom  23'",""
"5 de noviembre de 2016, 12:00","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Unión Española","0:2 (0:0)","","Pinares  63'

Sierra  72'"
"6 de agosto de 2016, 20:30","Santa Laura, Santiago (Independencia)","Unión Española","Universidad de Concepción","3:0 (1:0)","Churín  5'  (pen.),  64' ,  80'  (pen.)",""
"18 de noviembre de 2016, 20:00","Monumental, Santiago (Macul)","Colo-Colo","Cobresal","3:0 (1:0)","Rivero  19'

Paredes  82'  (pen.),  85'",""
"23 de septiembre de 2016, 20:00","Huachipato-CAP Acero, Talcahuano","Huachipato","Cobresal","4:1 (1:0)","Povea  20'

Duma  60'

Sagal  72' ,  76'","Núñez  63'"
"24 de septiembre de 2016, 12:00","Monumental, Santiago (Macul)","Colo-Colo","Santiago Wanderers","1:1 (1:0)","Rodríguez  13'","Parraguez  55'"
"30 de octubre de 2016, 20:30","Germán Becker, Temuco","Deportes Temuco","Universidad de Concepción","1:0 (0:0)","Campana  71'",""
"30 de julio de 2016, 18:00","San Carlos, Santiago (Las Condes)","Universidad Católica","Cobresal","1:1 (1:0)","Kalinski  45+1'","Cantero  47'"
"21 de agosto de 2016, 15:00","Huachipato-CAP Acero, Talcahuano","Huachipato","Colo-Colo","2:2 (2:1)","Duma  9'

Povea  14'","Zaldivia  42'

Rodríguez  76'"
"21 de agosto de 2016, 20:00","Municipal, Santiago (La Florida)","Audax Italiano","Deportes Antofagasta","1:0 (0:0)","Santos  66'",""
"27 de noviembre de 2016, 15:00","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Deportes Iquique","0:0","",""
"26 de noviembre de 2016, 17:30","El Teniente, Rancagua","O'Higgins","Colo-Colo","1:0 (1:0)","Calandria  33'",""
"25 de septiembre de 2016, 12:00","Lucio Fariña Fernández, Quillota","San Luis","Universidad Católica","2:0 (1:0)","Martínez  19'

Grondona  88'",""
"31 de julio de 2016, 12:00","Municipal de Alto Hospicio, Alto Hospicio","Deportes Iquique","Everton","3:1 (2:1)","Bustamante  22'

Guerrero  45+1'

Riquero  68'","Rodríguez  43'"
"25 de noviembre de 2016, 20:00","Huachipato-CAP Acero, Talcahuano","Huachipato","Deportes Temuco","1:0 (1:0)","González  2'",""
"26 de noviembre de 2016, 15:00","Sausalito, Viña del Mar","Everton","Cobresal","2:1 (2:0)","Suárez  10'

Almeida  42'","Sánchez  85'"
"13 de noviembre de 2016, 17:00","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Universidad de Concepción","2:0 (0:0)","Parraguez  62'  (pen.)

Terans  87'",""
"5 de agosto de 2016, 18:00","El Cobre, El Salvador","Cobresal","Santiago Wanderers","1:1 (1:0)","Escalona  21'","Escalona  50'  (a.g.)"
"6 de agosto de 2016, 12:00","Municipal, Santiago (La Cisterna)","Palestino","Huachipato","2:1 (0:0)","Benegas  58'

Valencia  69'","Gonzalez  47'"
"25 de septiembre de 2016, 20:30","Santa Laura, Santiago (Independencia)","Unión Española","Deportes Iquique","3:1 (1:1)","Ampuero  39'

Churín  54'

Salom  77'  (pen.)","Riquero  34'"
"20 de agosto de 2016, 12:00","El Cobre, El Salvador","Cobresal","Deportes Iquique","1:2 (0:0)","Cantero  87'","Charles  51'

Riquero  74'"
"5 de noviembre de 2016, 20:30","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Deportes Iquique","2:2 (0:0)","Martínez  75'

Mora  80'","Ramos  63'

Caroca  71'"
"20 de agosto de 2016, 15:00","El Teniente, Rancagua","O'Higgins","Deportes Temuco","1:0 (0:0)","Insaurralde  90+1'",""
"26 de noviembre de 2016, 20:00","San Carlos, Santiago (Las Condes)","Universidad Católica","Universidad de Concepción","2:0 (1:0)","Castillo  10'  (pen.)

Parot  65'",""
"6 de agosto de 2016, 18:00","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Deportes Antofagasta","1:1 (0:0)","Contreras  55'","Barrios  61'"
"14 de octubre de 2016, 20:00","Lucio Fariña Fernández, Quillota","San Luis","Cobresal","1:0 (0:0)","Martínez  87'",""
"21 de agosto de 2016, 17:30","San Carlos, Santiago (Las Condes)","Universidad Católica","Santiago Wanderers","1:2 (0:1)","Buonanotte  69'","Terans  43'

García  56'"
"15 de octubre de 2016, 12:00","Municipal, Santiago (La Cisterna)","Palestino","Deportes Antofagasta","5:1 (2:1)","Benegas  9' ,  32' ,  71'

Valencia  50'

Vidangossy  57'","Muñoz  6'"
"7 de agosto de 2016, 18:00","Sausalito, Viña del Mar","Everton","San Luis","1:1 (0:1)","Varas  76'","Escobar  41'"
"14 de agosto de 2016, 12:00","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Cobresal","0:0","",""
"13 de agosto de 2016, 15:30","Lucio Fariña Fernández, Quillota","San Luis","Universidad de Chile","2:4 (0:1)","Silva  79'

Vicencio  86'","Fernández  6'

Martínez  67'

Mora  75'

Rodríguez  88'  (pen.)"
"10 de septiembre de 2016, 15:00","Municipal, Santiago (La Cisterna)","Palestino","Santiago Wanderers","0:0","",""
"31 de julio de 2016, 15:30","Monumental, Santiago (Macul)","Colo-Colo","Unión Española","1:2 (0:1)","Paredes  47'","Pinares  4'

Galdames  59'"
"30 de julio de 2016, 12:00","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Universidad de Chile","1:0 (1:0)","Parraguez  26'",""
"14 de agosto de 2016, 15:30","Huachipato-CAP Acero, Talcahuano","Huachipato","Unión Española","2:2 (1:0)","González  6'

Povea  50'","Salom  84'

Domínguez  88'"
"9 de septiembre de 2016, 19:30","San Carlos, Santiago (Las Condes)","Universidad Católica","Everton","3:1 (1:0)","Jaime  35'

Kalinski  49'

Buonanotte  52'","Varas  81'  (pen.)"
"30 de julio de 2016, 20:30","Huachipato-CAP Acero, Talcahuano","Huachipato","Audax Italiano","3:1 (0:0)","Sagal  46' ,  83'

González  63'","Vallejos  82'"
"4 de diciembre de 2016, 17:00","Santa Laura, Santiago (Independencia)","Unión Española","Deportes Antofagasta","2:1 (1:1)","Churín  10' ,  76'","Ciampichetti  38'"
"8 de diciembre de 2016, 18:00","Municipal, Santiago (La Florida)","Audax Italiano","Deportes Iquique","1:2 (1:1)","Riquelme  1'","Cornejo  9'  (a.g.)

Torres  79'"
"28 de agosto de 2016, 17:30","Ester Roa Rebolledo, Concepción","Universidad de Concepción","Audax Italiano","3:1 (2:0)","Meneses  25'

Tarifeño  41'

Troncoso  90+4'","Carrasco  52'  (pen.)"
