fecha_hora,estadio_locaclidad,local,visita,resultado,goles local,goles_visita
"13 de agosto de 2017, 15:30","Ester Roa Rebolledo, Concepción","Universidad de Concepción","Deportes Antofagasta","0:0","",""
"10 de diciembre de 2017","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Deportes Iquique","vs.","",""
"14 de octubre de 2017, 18:00","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Universidad de Chile","vs.","",""
"19 de agosto de 2017, 15:30","Santa Laura, Santiago (Independencia)","Unión Española","San Luis","1:0 (0:0)","González  70'",""
"10 de septiembre de 2017, 12:30","Municipal, Santiago (La Florida)","Audax Italiano","Universidad Católica","2:2 (2:2)","Carrasco  28' (pen.)

Cornejo  37'","Buonanotte  18'

Fuenzalida  41'"
"30 de julio de 2017, 15:30","Germán Becker, Temuco","Deportes Temuco","O'Higgins","2:0 (0:0)","Farfán  46'

Donoso  85'",""
"10 de diciembre de 2017","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Universidad Católica","vs.","",""
"3 de diciembre de 2017","Cavancha, Iquique","Deportes Iquique","San Luis","vs.","",""
"20 de agosto de 2017, 15:30","Sausalito, Viña del Mar","Everton","O'Higgins","1:1 (0:1)","Ochoa  52' (pen.)","Acosta  11'"
"26 de noviembre de 2017","Sausalito, Viña del Mar","Everton","Colo-Colo","vs.","",""
"26 de noviembre de 2017","La Granja, Curicó","Curicó Unido","Huachipato","vs.","",""
"5 de noviembre de 2017","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Universidad de Chile","vs.","",""
"5 de noviembre de 2017","Municipal, Santiago (La Florida)","Audax Italiano","Curicó Unido","vs.","",""
"5 de noviembre de 2017","San Carlos, Santiago (Las Condes)","Universidad Católica","San Luis","vs.","",""
"26 de agosto de 2017, 15:30","Germán Becker, Temuco","Deportes Temuco","Everton","0:1 (0:0)","","Cuevas  52'"
"3 de diciembre de 2017","El Teniente, Rancagua","O'Higgins","Huachipato","vs.","",""
"11 de agosto de 2017, 20:00","El Teniente, Rancagua","O'Higgins","Unión Española","0:2 (0:1)","","Aránguiz  42'

Muñoz  69'"
"5 de agosto de 2017, 18:00","Santa Laura, Santiago (Independencia)","Unión Española","Universidad Católica","1:0 (0:0)","Pinares  47' (pen.)",""
"22 de septiembre de 2017, 20:30","Monumental, Santiago (Macul)","Colo-Colo","San Luis","3:0 (1:0)","Opazo  28',  70'

Villanueva  63'",""
"25 de agosto de 2017, 20:00","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Deportes Iquique","0:0","",""
"24 de septiembre de 2017, 12:00","El Teniente, Rancagua","O'Higgins","Palestino","2:1 (0:0)","Calandria  74'

Rolle  83'","Gutiérrez  90+1' (pen.)"
"14 de octubre de 2017, 15:30","Municipal, Santiago (La Cisterna)","Palestino","Unión Española","vs.","",""
"21 de octubre de 2017, 12:00","Cavancha, Iquique","Deportes Iquique","Deportes Temuco","vs.","",""
"22 de octubre de 2017, 20:30","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Palestino","vs.","",""
"27 de octubre de 2017, 20:30","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Audax Italiano","vs.","",""
"26 de noviembre de 2017","Santa Laura, Santiago (Independencia)","Unión Española","Deportes Temuco","vs.","",""
"30 de septiembre de 2017, 15:30","Cavancha, Iquique","Deportes Iquique","Universidad de Concepción","vs.","",""
"10 de diciembre de 2017","La Granja, Curicó","Curicó Unido","O'Higgins","vs.","",""
"29 de julio de 2017, 15:00","La Granja, Curicó","Curicó Unido","Universidad de Chile","0:1 (0:0)","","Pizarro  89' (pen.)"
"21 de octubre de 2017, 20:30","Lucio Fariña Fernández, Quillota","San Luis","Deportes Antofagasta","vs.","",""
"29 de julio de 2017, 12:00","Cavancha, Iquique","Deportes Iquique","Everton","0:1 (0:0)","","Cuevas  86'"
"5 de noviembre de 2017","Huachipato-CAP Acero, Talcahuano","Huachipato","Everton","vs.","",""
"10 de diciembre de 2017","Germán Becker, Temuco","Deportes Temuco","Universidad de Concepción","vs.","",""
"23 de septiembre de 2017, 20:30","Ester Roa Rebolledo, Concepción","Universidad de Concepción","Curicó Unido","0:1 (0:1)","","Tello  17'"
"8 de septiembre de 2017, 20:30","Santa Laura, Santiago (Independencia)","Unión Española","Universidad de Concepción","1:0 (1:0)","Alarcón  15' (a.g.)",""
"26 de noviembre de 2017","El Teniente, Rancagua","O'Higgins","Universidad Católica","vs.","",""
"27 de agosto de 2017, 18:00","El Teniente, Rancagua","O'Higgins","Deportes Antofagasta","0:2 (0:1)","","Carvallo  17'

Ciampichetti  67' (pen.)"
"26 de agosto de 2017, 20:30","Huachipato-CAP Acero, Talcahuano","Huachipato","Unión Española","0:1 (0:1)","","Poblete  11'"
"10 de diciembre de 2017","Huachipato-CAP Acero, Talcahuano","Huachipato","Colo-Colo","vs.","",""
"24 de septiembre de 2017, 15:30","Germán Becker, Temuco","Deportes Temuco","Universidad Católica","1:0 (1:0)","Casanova  45'",""
"5 de agosto de 2017, 20:30","Sausalito, Viña del Mar","Everton","San Luis","4:0 (2:0)","Rubio  11',  59'

González  30' (a.g.)

Cuevas  47'",""
"12 de agosto de 2017, 18:00","San Carlos, Santiago (Las Condes)","Universidad Católica","Everton","1:1 (1:1)","Buonanotte  26' (pen.)","Ochoa  21' (pen.)"
"20 de agosto de 2017, 18:00","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Huachipato","3:2 (2:2)","Seymour  10'

Ubilla  35'

Pizarro  74'","Ortega  42'

Huerta  45'"
"30 de septiembre de 2017, 18:00","Huachipato-CAP Acero, Talcahuano","Huachipato","Santiago Wanderers","vs.","",""
"29 de octubre de 2017, 18:00","El Teniente, Rancagua","O'Higgins","Santiago Wanderers","vs.","",""
"29 de julio de 2017, 18:00","Municipal, Santiago (La Florida)","Audax Italiano","Palestino","2:1 (1:0)","Carrasco  33' (pen.)  90'","Gutiérrez  54'"
"4 de agosto de 2017, 20:00","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Deportes Temuco","2:1 (1:1)","Lorenzetti  42',  79'","Martínez  24'"
"1 de octubre de 2017, 18:00","Municipal, Santiago (La Florida)","Audax Italiano","Everton","vs.","",""
"10 de diciembre de 2017","Municipal, Santiago (La Cisterna)","Palestino","Santiago Wanderers","vs.","",""
"5 de noviembre de 2017","Monumental, Santiago (Macul)","Colo-Colo","Unión Española","vs.","",""
"20 de agosto de 2017, 12:00","Cavancha, Iquique","Deportes Iquique","Curicó Unido","0:1 (0:0)","","Rebolledo  61'"
"15 de octubre de 2017, 15:30","Monumental, Santiago (Macul)","Colo-Colo","Santiago Wanderers","vs.","",""
"20 de octubre de 2017, 20:30","Huachipato-CAP Acero, Talcahuano","Huachipato","Universidad Católica","vs.","",""
"27 de agosto de 2017, 15:30","Ester Roa Rebolledo, Concepción","Universidad de Concepción","Audax Italiano","1:1 (1:1)","Manríquez  14'","Carrasco  22' (pen.)"
"5 de noviembre de 2017","Ester Roa Rebolledo, Concepción","Universidad de Concepción","Palestino","vs.","",""
"26 de agosto de 2017, 18:00","San Carlos, Santiago (Las Condes)","Universidad Católica","Curicó Unido","1:0 (1:0)","Kuscevic  19'",""
"12 de agosto de 2017, 15:30","Germán Becker, Temuco","Deportes Temuco","Huachipato","0:0","",""
"10 de septiembre de 2017, 18:00","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Huachipato","1:0 (1:0)","Romo  14'",""
"29 de octubre de 2017, 15:30","Sausalito, Viña del Mar","Everton","Universidad de Concepción","vs.","",""
"30 de julio de 2017, 12:00","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Unión Española","0:0","",""
"5 de agosto de 2017, 12:00","Municipal, Santiago (La Cisterna)","Palestino","Curicó Unido","2:1 (1:1)","Gutiérrez  18',  85'","Ábalos  45+2'"
"30 de septiembre de 2017, 20:30","Lucio Fariña Fernández, Quillota","San Luis","O'Higgins","vs.","",""
"18 de agosto de 2017, 20:00","Municipal, Santiago (La Florida)","Audax Italiano","Deportes Temuco","2:1 (1:0)","Abrigo  27',  80'","Donoso  55'"
"9 de septiembre de 2017, 18:00","Nacional, Santiago (Ñuñoa)","Universidad de Chile","O'Higgins","2:2 (0:2)","Pinilla  77',  88'","Sepúlveda  2',  11'"
"26 de noviembre de 2017","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Audax Italiano","vs.","",""
"22 de octubre de 2017, 18:00","La Granja, Curicó","Curicó Unido","Unión Española","vs.","",""
"29 de julio de 2017, 20:30","San Carlos, Santiago (Las Condes)","Universidad Católica","Universidad de Concepción","0:0","",""
"29 de octubre de 2017, 12:00","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Universidad Católica","vs.","",""
"29 de octubre de 2017, 20:30","La Granja, Curicó","Curicó Unido","San Luis","vs.","",""
"12 de agosto de 2017, 12:00","La Granja, Curicó","Curicó Unido","Santiago Wanderers","1:1 (0:1)","Rebolledo  78' (pen.)","López  26'"
"6 de agosto de 2017, 12:00","El Teniente, Rancagua","O'Higgins","Colo-Colo","1:3 (1:2)","Calandria  25'","Valdés  23' (pen.)

Meza  38'

Valdivia  70'"
"6 de agosto de 2017, 15:30","Huachipato-CAP Acero, Talcahuano","Huachipato","Audax Italiano","2:1 (1:1)","Huerta  17'

Soteldo  87'","Huerta  2' (a.g.)"
