fecha_hora,estadio_locaclidad,local,visita,resultado,goles local,goles_visita
"21 de febrero de 2015, 18:30","CAP, Talcahuano","Huachipato","Deportes Antofagasta","2:0 (0:0)","Delgado  50'

Ezquerra  88'",""
"11 de abril de 2015, 21:00","Municipal, Santiago (La Pintana)","Cobresal","Ñublense","1:0 (1:0)","Donoso  5'",""
"26 de abril de 2015, 16:30","El Cobre, El Salvador","Cobresal","Barnechea","3:2 (1:2)","Cantero  29'

Sánchez  62'

Donoso  82'  (pen.)","Santander  21'

Moya  33'"
"14 de marzo de 2015, 16:00","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Colo-Colo","1:2 (1:0)","Ubilla  17'","Paredes  54' ,  90+3'  (pen.)"
"3 de febrero de 2015, 19:30","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Deportes Iquique","2:3 (0:0)","Canales  51'  (pen.)

Benegas  64'","Gomez  63'

Bogado  76'

Castro  90+2'"
"4 de enero de 2015, 18:30","Monumental, Santiago (Macul)","Colo-Colo","San Marcos de Arica","0:1 (0:0)","","Ramos  73'"
"3 de abril de 2015, 20:30","Nelson Oyarzún Arenas, Chillán","Ñublense","Deportes Iquique","2:0 (1:0)","Lorca  45+3' ,  80'",""
"10 de enero de 2015, 22:00","Carlos Dittborn, Arica","San Marcos de Arica","Ñublense","0:0 (0:0)","",""
"27 de febrero de 2015, 18:30","Lucio Fariña Férnandez, Quillota","Santiago Wanderers","Universidad de Concepción","0:0 (0:0)","",""
"1 de marzo de 2015, 18:00","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Unión Española","1:2 (1:2)","Aguirre  44'","Ferreyra  9' ,  22'"
"13 de febrero de 2015, 21:00","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Unión Española","1:2 (1:1)","Carmona  14'","Abán  31'

Ferreyra  84'"
"21 de febrero de 2015, 16:00","Carlos Dittborn, Arica","San Marcos de Arica","Universidad Católica","3:3 (2:1)","González  1'

Harbottle  13'

Medina  78'","Muñoz  36'

Llanos  83'

Gutiérrez  90+4'"
"2 de enero de 2015, 20:00","El Teniente, Rancagua","O'Higgins","Unión La Calera","2:1 (1:0)","Lezcano  35'

Lizio  60'","Pineda  73'"
"22 de febrero de 2015, 17:00","El Cobre, El Salvador","Cobresal","Santiago Wanderers","1:0 (0:0)","Sarabia  78'  (pen.)",""
"8 de febrero de 2015, 18:15","Nicolás Chahuán Nazar, La Calera","Unión La Calera","Cobreloa","0:0 (0:0)","",""
"16 de enero de 2015, 16:00","El Cobre, El Salvador","Cobreloa","Universidad Católica","1:3 (0:1)","Barboza  49'","González  12' ,  70'

Pulgar  63'"
"22 de febrero de 2015, 16:00","CAP, Talcahuano","Universidad de Concepción","Universidad de Chile","1:2 (0:1)","Aguirre  81'","Carmona  38'

Pereira  72'"
"22 de marzo de 2015, 15:00","El Cobre, El Salvador","Cobresal","Universidad de Concepción","2:1 (0:1)","Ureña  87'

Sarabia  90+3'  (pen.)","Aguirre  27'"
"7 de marzo de 2015, 22:00","Tierra de Campeones, Iquique","Deportes Iquique","Audax Italiano","3:2 (3:2)","Oviedo  8'

Castro  11'

Bogado  32'","Carrasco  45+18' ,  45+19'"
"25 de abril de 2015, 20:00","CAP, Talcahuano","Huachipato","San Marcos de Arica","1:0 (1:0)","Mancilla  2'",""
"5 de abril de 2015, 16:00","Luis Becerra Constanzo, Calama","Cobreloa","Huachipato","6:0 (1:0)","González  29'

Herrera  68'

Silva  72'  (pen.)

Barboza  78'

López  80'

Cristaldo  88'",""
"1 de febrero de 2015, 18:30","San Carlos, Santiago (Las Condes)","Universidad Católica","Ñublense","2:1 (0:1)","L. Pavez  74'  (a.g.)

Godoy  82'  (a.g.)","Rodríguez  31'"
"18 de enero de 2015, 18:00","Municipal de Mejillones, Mejillones","Deportes Antofagasta","Unión La Calera","3:4 (2:2)","Malán  9'

Ferreira  32'

Delfino  90+2'","Pineda  39' ,  44' ,  66'

Vidal  70'  (pen.)"
"2 de mayo de 2015, 15:30","Tierra de Campeones, Iquique","Deportes Iquique","Huachipato","1:2 (1:1)","Bogado  30'","Rodríguez  41'

Vilches  48'"
"15 de febrero de 2015, 16:00","Luis Becerra Constanzo, Calama","Cobreloa","Cobresal","1:3 (1:2)","Barboza  37'","Cantero  6' ,  80'

Fuentes  38'"
"11 de abril de 2015, 22:00","Carlos Dittborn, Arica","San Marcos de Arica","O'Higgins","0:0 (0:0)","",""
"6 de marzo de 2015, 21:00","San Carlos, Santiago (Las Condes)","Barnechea","Cobreloa","0:1 (0:1)","","Herrera  36'"
"28 de febrero de 2015, 19:30","San Carlos, Santiago (Las Condes)","Universidad Católica","Cobresal","2:4 (1:1)","Álvarez  45+3'

Gutiérrez  89'","Donoso  33' ,  87' ,  90+1'

Sepúlveda  66'"
"17 de enero de 2015, 21:00","Santa Laura, Santiago (Independencia)","Unión Española","San Marcos de Arica","1:2 (0:2)","Ferreyra  75'","Ramos  14' ,  33'"
"21 de marzo de 2015, 21:00","Tierra de Campeones, Iquique","Deportes Iquique","Cobreloa","0:0 (0:0)","",""
"18 de abril de 2015, 12:00","Monumental, Santiago (Macul)","Colo-Colo","Universidad Católica","0:3 (0:3)","","Muñoz  4'

Ibañez  20'

Pulgar  44'"
"7 de marzo de 2015, 19:30","CAP, Talcahuano","Huachipato","Universidad Católica","3:5 (2:2)","Vilches  8' ,  66'

Espinosa  41'","Gutiérrez  1'

Ríos  3' ,  62' ,  67'

Botinelli  78'  (pen.)"
"15 de marzo de 2015, 17:00","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Cobresal","2:0 (2:0)","Riquelme  5'

Martínez  13'",""
"11 de enero de 2015, 17:00","Municipal, Santiago (La Cisterna)","Palestino","Cobresal","0:1 (0:0)","","Zúñiga  81'"
"1 de marzo de 2015, 16:00","Luis Becerra Constanzo, Calama","Cobreloa","San Marcos de Arica","1:0 (0:0)","Cristaldo  90+2'",""
"1 de marzo de 2015, 15:30","Municipal, Santiago (La Cisterna)","Palestino","Deportes Iquique","2:2 (2:0)","Vidangossy  10'

Díaz  36'","Villalobos  52'

Gómez  85'"
"12 de abril de 2015, 18:00","CAP, Talcahuano","Huachipato","Barnechea","4:1 (3:0)","Espinosa  18'

Mancilla  23' ,  50'

Vilches  36'  (pen.)","Ibáñez  70'"
"25 de marzo de 2015, 17:00","Municipal, Santiago (La Cisterna)","Palestino","Huachipato","1:1 (0:1)","Guajardo  72'","Espinosa  8'"
"15 de marzo de 2015, 20:30","Municipal, Santiago (La Florida)","Audax Italiano","Huachipato","2:2 (1:0)","Pol  34'

Carrasco  65'","E. González  85'

Mancilla  90+3'"
"7 de febrero de 2015, 22:00","Carlos Dittborn, Arica","San Marcos de Arica","Cobresal","1:1 (0:0)","Oberman  75'","Donoso  90+7'"
"2 de mayo de 2015, 15:30","Monumental, Santiago (Macul)","Colo-Colo","Santiago Wanderers","3:1 (1:1)","Fierro  11'  (pen.)

Paredes  80' ,  90+4'","Cellerino  26'"
"8 de marzo de 2015, 18:30","Nelson Oyarzún Arenas, Chillán","Ñublense","Deportes Antofagasta","0:1 (0:0)","","Cabrera  53'"
"4 de enero de 2015, 16:00","F. Sánchez Rumoroso, Coquimbo","Deportes Antofagasta","Universidad Católica","2:3 (0:2)","Ferreira  51'

Riquelme  90+1'","Pulgar  16'

González  41' ,  54'"
"8 de febrero de 2015, 16:00","Municipal de Yumbel, Yumbel","Universidad de Concepción","Unión Española","1:2 (0:1)","Vargas  89'","Berardo  22'

Salom  80'"
"26 de abril de 2015, 12:00","Zorros del Desierto, Calama","Cobreloa","Colo-Colo","0:4 (0:0)","","Flores  54' ,  64' ,  90+5'

Paredes  90+1'"
"19 de abril de 2015, 15:30","Tierra de Campeones, Iquique","Deportes Iquique","San Marcos de Arica","4:1 (2:1)","Castro  3'

Villalobos  41'

Pinares  54'

Caroca  77'","González  18'"
"4 de abril de 2015, 18:00","Nicolás Chahuán Nazar, La Calera","Unión La Calera","Audax Italiano","2:2 (1:0)","Charles  17'

Pineda  90+1'","Pol  55'

Cornejo  90+5'"
"7 de enero de 2015, 20:00","San Carlos, Santiago (Las Condes)","Barnechea","Santiago Wanderers","0:2 (0:0)","","Schultz  82'

Cellerino  90'"
"21 de marzo de 2015, 15:30","Santa Laura, Santiago (Independencia)","Unión Española","Ñublense","1:1 (0:0)","Mirosevic  84'  (pen.)","Pozo  55'"
"2 de marzo de 2015, 20:00","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Audax Italiano","2:3 (0:1)","Benegas  76'

Ubilla  90+2'","Cornejo  8'

Carrasco  54'  (pen.)

Valdes  71'"
"12 de abril de 2015, 15:30","Municipal, Santiago (La Florida)","Audax Italiano","Colo-Colo","0:1 (0:1)","","Vecchio  12'  (pen.)"
"18 de enero de 2015, 18:30","Monumental, Santiago (Macul)","Colo-Colo","Huachipato","2:2 (1:2)","Vecchio  19'

Paredes  81'","Duma  23'

Sagal  24'"
"15 de febrero de 2015, 18:30","El Teniente, Rancagua","O'Higgins","Universidad Católica","1:1 (1:0)","Calandria  45+1'","Bottinelli  62'  (pen.)"
"2 de mayo de 2015, 12:30","CAP, Talcahuano","Universidad de Concepción","Universidad Católica","2:0 (2:0)","Berrios  28'

Lepe  43'",""
