"Jugador","Posicion","from","Tipo","caso","to","equipo","id","ex_from","ex_to","B_from","B_to","O_from","O_to","from2","to2"
"Óscar Salinas","Delantero","Deportes Antofagasta","Fin de contrato","Bajas","Everton","Deportes Antofagasta",4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Deportes Antofagasta","Everton"
"Hans Salinas","Defensa","La Serena","","Altas","Deportes Iquique","Deportes Iquique",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Deportes Iquique"
"Leonardo Espinoza","Delantero","Santiago Morning","","Altas","Deportes Iquique","Deportes Iquique",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Deportes Iquique"
"Johan Fuentes","Mediocampista","San Luis","","Altas","Deportes Iquique","Deportes Iquique",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"San Luis","Deportes Iquique"
"Gerson Acevedo","Mediocampista","Kairat Almaty","Libre","Altas","Deportes Iquique","Deportes Iquique",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Deportes Iquique"
"Matías Blásquez","Defensa","Everton","Libre","Altas","Deportes Iquique","Deportes Iquique",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Everton","Deportes Iquique"
"Ignacio Caroca","Volante Mixto","Curicó Unido","Libre","Altas","Deportes Iquique","Deportes Iquique",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Curicó Unido","Deportes Iquique"
"Lucas Fernández","Delantero","Fernández Vial","Libre","Altas","Deportes Iquique","Deportes Iquique",5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Otros","Deportes Iquique"
"Humberto Bustamante","Defensa","Deportes Iquique","Fin de Contrato","Bajas","Iberia","Deportes Iquique",5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Deportes Iquique","Primera B"
"Tomás Charles","Defensa","Deportes Iquique","Fin de contrato","Bajas","NA","Deportes Iquique",5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Deportes Iquique","Otros"
"Mathías Riquero","Mediocampista","Deportes Iquique","Fin de Contrato","Bajas","Deportes Temuco","Deportes Iquique",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Deportes Iquique","Deportes Temuco"
"Rafael Caroca","Mediocampista","Deportes Iquique","Fin de Contrato","Bajas","Universidad de Chile","Deportes Iquique",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Deportes Iquique","Universidad de Chile"
"Bryan Cubillos","Mediocampista","Deportes Iquique","Cesión","Bajas","Real San Joaquín","Deportes Iquique",5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Deportes Iquique","Extranjero"
"Álvaro Ramos","Delantero","Deportes Iquique","Traspaso","Bajas","Club León","Deportes Iquique",5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Deportes Iquique","Extranjero"
"Felipe Reynero","Delantero","Deportes Iquique","Fin de Cesión","Bajas","Atlante","Deportes Iquique",5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Deportes Iquique","Extranjero"
"Fernando Otarola","Portero","Villa Dálmine","Libre","Altas","Deportes Temuco","Deportes Temuco",6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Deportes Temuco"
"John Santander","Defensa","San Luis","Traspaso","Altas","Deportes Temuco","Deportes Temuco",6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"San Luis","Deportes Temuco"
"Nicolás Ramírez","Defensa","Universidad de Chile","Cesión","Altas","Deportes Temuco","Deportes Temuco",6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad de Chile","Deportes Temuco"
"Matías Fracchia","Defensa","Sin Club","Libre","Altas","Deportes Temuco","Deportes Temuco",6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Otros","Deportes Temuco"
"Kevin Harbottle","Mediocampista","Deportes Antofagasta","Fin de contrato","Altas","Deportes Temuco","Deportes Temuco",6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Deportes Antofagasta","Deportes Temuco"
"Mathías Riquero","Mediocampista","Deportes Iquique","Libre","Altas","Deportes Temuco","Deportes Temuco",6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Deportes Iquique","Deportes Temuco"
"Rubén Farfán","Delantero","Santiago Wanderers","Libre","Altas","Deportes Temuco","Deportes Temuco",6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Santiago Wanderers","Deportes Temuco"
"Luis Marín","Portero","Deportes Temuco","Rescisión de contrato","Bajas","Libre","Deportes Temuco",6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Deportes Temuco","Otros"
"Matías Navarrete","Defensa","Deportes Temuco","Fin de contrato","Bajas","Unión La Calera","Deportes Temuco",6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Deportes Temuco","Primera B"
"Mariano Almandoz","Defensa","Deportes Temuco","Rescisión de contrato","Bajas","Libre","Deportes Temuco",6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Deportes Temuco","Otros"
"Fernando Lazcano","Defensa","Deportes Temuco","Fin de contrato","Bajas","NA","Deportes Temuco",6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Deportes Temuco","Otros"
"Orlando Gutiérrez","Defensa","Deportes Temuco","Fin de contrato","Bajas","Libre","Deportes Temuco",6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Deportes Temuco","Otros"
"Rodrigo Ureña","Mediocampista","Deportes Temuco","Fin de contrato","Bajas","Palestino","Deportes Temuco",6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Deportes Temuco","Palestino"
"Francisco Piña","Mediocampista","Deportes Temuco","Fin de contrato","Bajas","Santiago Wanderers","Deportes Temuco",6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Deportes Temuco","Santiago Wanderers"
"Sergio López","Mediocampista","Deportes Temuco","Fin de contrato","Bajas","Once Caldas","Deportes Temuco",6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Deportes Temuco","Extranjero"
"José Huentelaf","Delantero","Deportes Temuco","Fin de contrato","Bajas","Universidad de Concepción","Deportes Temuco",6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Deportes Temuco","Universidad de Concepción"
"Álvaro Madrid","Mediocampista","Unión La Calera","Vuelve de cesión","Altas","Everton","Everton",7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Everton"
"Pedro Sánchez","Mediocampista","Unión La Calera","Vuelve de cesión","Altas","Everton","Everton",7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Everton"
"Lucas Mugni","Mediocampista","Rayo Majadahonda","Libre","Altas","Everton","Everton",7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Everton"
"Óscar Salinas","Delantero","Deportes Antofagasta","Libre","Altas","Everton","Everton",7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Deportes Antofagasta","Everton"
"Jaime Carreño","Mediocampista","Universidad Católica","Cesión","Altas","Everton","Everton",7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad Católica","Everton"
"Juan Cuevas","Delantero","Mineros de Zacatecas","Cesión","Altas","Everton","Everton",7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Everton"
"Patricio Rubio","Delantero","Dorados de Sinaloa","Cesión (desde Querétaro)","Altas","Everton","Everton",7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Everton"
"Matías Blásquez","Defensa","Everton","Fin de contrato","Bajas","Deportes Iquique","Everton",7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Everton","Deportes Iquique"
"Nicolás Orellana","Defensa","Everton","Fin de cesión (con Colo-Colo)","Bajas","Por definir","Everton",7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Everton","Extranjero"
"Sebastián González","Mediocampista","Everton","Fin de contrato","Bajas","San Marcos","Everton",7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Everton","Primera B"
"Diego Orellana","Mediocampista","Everton","Cesión","Bajas","Unión La Calera","Everton",7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Everton","Primera B"
"Rodrigo Echeverría","Mediocampista","Everton","Fin de cesión","Bajas","Universidad de Chile","Everton",7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Everton","Universidad de Chile"
"Nahúm Gómez","Mediocampista","Everton","Fin de cesión","Bajas","C.F. Pachuca","Everton",7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Everton","Extranjero"
"Maximiliano Cerato","Delantero","Everton","Traspaso","Bajas","Club León","Everton",7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Everton","Extranjero"
"Sebastian Varas","Delantero","Everton","Fin de cesión","Bajas","Ñublense","Everton",7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Everton","Primera B"
"Wilson Morelo","Delantero","Everton","Fin de cesión","Bajas","Independiente Santa Fe","Everton",7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Everton","Extranjero"
"Camilo Ponce","Delantero","Everton","Cesión","Bajas","Ñublense","Everton",7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Everton","Primera B"
"Douglas Estay","Defensa","Everton","Cesión","Bajas","Unión La Calera","Everton",7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Everton","Primera B"
"Eric Ahumada","Defensa","Cobreloa","Traspaso","Altas","Huachipato","Huachipato",8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Huachipato"
"Juan Córdova","Defensa","Unión San Felipe","Traspaso","Altas","Huachipato","Huachipato",8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Huachipato"
"Mikel Arguinarena","Mediocampista","Curicó Unido","Fin de préstamo","Altas","Huachipato","Huachipato",8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Curicó Unido","Huachipato"
"Mathías López","Mediocampista","Cobreloa","Traspaso","Altas","Huachipato","Huachipato",8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Huachipato"
"Mateo Zoch","Mediocampista","Oriente Petrolero","Traspaso","Altas","Huachipato","Huachipato",8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Huachipato"
"Jhon García","Mediocampista","Callejas","Traspaso","Altas","Huachipato","Huachipato",8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Huachipato"
"Sebastián Martinez","Mediocampista","Universidad de Chile","Préstamo","Altas","Huachipato","Huachipato",8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad de Chile","Huachipato"
"Matías Ramírez","Delantero","Granada ""B""","Traspaso","Altas","Huachipato","Huachipato",8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Huachipato"
"Joaquín Verdugo","Delantero","Rangers","Traspaso","Altas","Huachipato","Huachipato",8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Huachipato"
"Javier Parraguez","Delantero","Santiago Wanderers","Vuelve de préstamo","Altas","Huachipato","Huachipato",8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Santiago Wanderers","Huachipato"
"Jorge Ortega","Delantero","Rubio Ñu","Traspaso","Altas","Huachipato","Huachipato",8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Huachipato"
"Víctor Dávila","Mediocampista","Huachipato","Fin de contrato","Bajas","Necaxa","Huachipato",8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Huachipato","Extranjero"
"Andrés Robles","Mediocampista","Huachipato","Fin de Préstamo","Bajas","Santiago Wanderers","Huachipato",8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Huachipato","Santiago Wanderers"
"Juan Méndez","Mediocampista","Huachipato","Préstamo","Bajas","Unión San Felipe","Huachipato",8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Huachipato","Primera B"
"Ricardo González","Mediocampista","Huachipato","Préstamo","Bajas","Unión San Felipe","Huachipato",8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Huachipato","Primera B"
"Alex Díaz","Mediocampista","Huachipato","Préstamo","Bajas","Deportes Puerto Montt","Huachipato",8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Huachipato","Primera B"
"Alvaro Sobarzo","Delantero","Huachipato","Préstamo","Bajas","Deportes Puerto Montt","Huachipato",8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Huachipato","Primera B"
"Carlos González","Delantero","Huachipato","Fin de Contrato","Bajas","Necaxa","Huachipato",8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Huachipato","Extranjero"
"Ángelo Sagal","Delantero","Huachipato","Traspaso","Bajas","Club de Fútbol Pachuca","Huachipato",8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Huachipato","Extranjero"
"Vicente Gatica","Delantero","Huachipato","Préstamo","Bajas","Ñublense","Huachipato",8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Huachipato","Primera B"
"Martín Molini","Delantero","Huachipato","Préstamo","Bajas","Ñublense","Huachipato",8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Huachipato","Primera B"
"Juan Ignacio Duma","Delantero","Huachipato","Fin de Contrato","Bajas","NA","Huachipato",8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Huachipato","Otros"
"Felipe Ochagavía","Portero","Magallanes","Vuelve de Préstamo","Altas","Ohiggins","Ohiggins",9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Ohiggins"
"Mauro Visaguirre","Defensa","Gutiérrez SC","Traspaso","Altas","Ohiggins","Ohiggins",9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Ohiggins"
"Franz Schultz","Mediocampista","Universidad de Chile","Préstamo","Altas","Ohiggins","Ohiggins",9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad de Chile","Ohiggins"
"César González","Mediocampista","Magallanes","Vuelve de Préstamo","Altas","Ohiggins","Ohiggins",9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Ohiggins"
"Fabián Hormazábal","Delantero","Curicó Unido","Fin de préstamo","Altas","Ohiggins","Ohiggins",9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Curicó Unido","Ohiggins"
"Richard Barroilhet","Delantero","Montpellier II","Libre","Altas","Ohiggins","Ohiggins",9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Ohiggins"
"Lautaro Comas","Delantero","Patronato","Préstamo","Altas","Ohiggins","Ohiggins",9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Ohiggins"
"Joel Acosta","Delantero","Aldosivi","Traspaso","Altas","Ohiggins","Ohiggins",9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Ohiggins"
"Leonardo Figueroa","Portero","Ohiggins","Fin de Contrato","Bajas","Cobresal","Ohiggins",9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Ohiggins","Primera B"
"Yerson Opazo","DEF","Ohiggins","Fin de Contrato","Bajas","San Luis","Ohiggins",9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ohiggins","San Luis"
"Gonzalo Barriga","Mediocampista","Ohiggins","Fin de Contrato","Bajas","Deportes Antofagasta","Ohiggins",9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ohiggins","Deportes Antofagasta"
"Santiago Lizana","Mediocampista","Ohiggins","Fin de Contrato","Bajas","NA","Ohiggins",9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Ohiggins","Otros"
"Manuel Bravo","Mediocampista","Ohiggins","Fin de Contrato","Bajas","San Luis","Ohiggins",9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ohiggins","San Luis"
"Marco Medel","Mediocampista","Ohiggins","Fin de Contrato","Bajas","Santiago Wanderers","Ohiggins",9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ohiggins","Santiago Wanderers"
"Francisco Arancibia Silva","Delantero","Ohiggins","Traspaso","Bajas","Universidad de Chile","Ohiggins",9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ohiggins","Universidad de Chile"
"Lucas Fierro","Delantero","Ohiggins","Préstamo","Bajas","Unión La Calera","Ohiggins",9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Ohiggins","Primera B"
"Cristian Insaurralde","Delantero","Ohiggins","Préstamo","Bajas","Cerro Porteño","Ohiggins",9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Ohiggins","Extranjero"
"Jonathan Salvador","Arquero","Unión San Felipe","Libre","Altas","Palestino","Palestino",10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Palestino"
"Marcos González","Defensa","Necaxa","Libre","Altas","Palestino","Palestino",10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Palestino"
"Rodrigo Tapia","Defensa","Defensa y Justicia","Prestamo","Altas","Palestino","Palestino",10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Palestino"
"Byron Guajardo","Defensa","Club de Deportes La Serena","Traspaso","Altas","Palestino","Palestino",10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Palestino"
"Sebastian Toro","Defensa","Junior","Libre","Altas","Palestino","Palestino",10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Palestino"
"Eric Pino","Mediocampista","Deportes Valdivia","Libre","Altas","Palestino","Palestino",10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Palestino"
"Rodrigo Ureña","Mediocampista","Deportes Temuco","Libre","Altas","Palestino","Palestino",10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Deportes Temuco","Palestino"
"Alan Arario","Mediocampista","Dorados de Sinaloa","Libre","Altas","Palestino","Palestino",10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Palestino"
"Nicolás Astete","Mediocampista","Deportes Recoleta","Libre","Altas","Palestino","Palestino",10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Otros","Palestino"
"Julián Fernández","Mediocampista","Club Atlético All Boys","","Altas","Palestino","Palestino",10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Palestino"
"Roberto Gutiérrez","Delantero","Universidad Católica","Libre","Altas","Palestino","Palestino",10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad Católica","Palestino"
"Fabián Ahumada","Delantero","Coquimbo Unido","Vuelve de cesión","Altas","Palestino","Palestino",10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Palestino"
"Felipe Barrientos","Delantero","Celaya","Préstamo","Altas","Palestino","Palestino",10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Palestino"
"Diego Rojas","Delantero","Everton","Préstamo (con Universidad Católica)","Altas","Palestino","Palestino",10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Everton","Palestino"
