teams,teams-href,Nº,Nombre y apellidos,Nac.,Fecha y lugar de nac.,Posición,html table
"Huachipato FC","http://www.sifup.cl/planteles/huachipato/","1","Carlos LAMPE Porras","BOL","17.03.87, Santa Cruz","Arquero",""
"Universidad de Concepción","http://www.sifup.cl/planteles/universidad-de-concepcion/","7","Jean MENESES Villarroel","CHI","13.01.93, Santiago","Volante ofe.",""
"Deportes Iquique","http://www.sifup.cl/planteles/deportes-iquique/","8","Mauricio ZENTENO Morales","CHI","21.04.84, Linares","Central",""
"Palestino","http://www.sifup.cl/planteles/palestino/","20","Diego OYARZÚN Carrasco","CHI","19.01.93, Vitacura","Central/lat. izq.",""
"Audax Italiano","http://www.sifup.cl/planteles/audax-italiano/","8","Iván VÁSQUEZ Quilodrán","CHI","13.08.85, Lautaro","Volante def.",""
"Huachipato FC","http://www.sifup.cl/planteles/huachipato/","12","Yerko URRA Cortés","CHI","09.07.96, Mulchén","Arquero",""
"Cobresal","http://www.sifup.cl/planteles/cobresal/","5","Alexis SALAZAR Villarroel","CHI","03.06.83, Concepción","Central",""
"Deportes Antofagasta","http://www.sifup.cl/planteles/deportes-antofagasta/","33","Hugo DROGUETT Diocares","CHI","02.09.82, Quinta Normal","Volante ofe.",""
"O’Higgins de Rancagua","http://www.sifup.cl/planteles/ohiggins/","10","Diego Martín ROLLE","ARG","02.02.85, Rosario","Volante ofe.",""
"San Luis de Quillota","http://www.sifup.cl/planteles/san-luis/","-","Matías ESTAY Miranda","CHI","10.11.99, La Calera","Lateral der.",""
"O’Higgins de Rancagua","http://www.sifup.cl/planteles/ohiggins/","-","Matías MENESES Letelier","CHI","-","Delantero",""
"San Luis de Quillota","http://www.sifup.cl/planteles/san-luis/","1","Matías Nicolás CANO","ARG","20.04.86, Adrogué","Arquero",""
"Universidad de Concepción","http://www.sifup.cl/planteles/universidad-de-concepcion/","25","Felipe FRITZ Saldías","CHI","23.09.97, Coronel","Delantero",""
"Audax Italiano","http://www.sifup.cl/planteles/audax-italiano/","11","David DROCCO del Río","ARG","20.01.89, Córdoba","Volante def.",""
"Santiago Wanderers","http://www.sifup.cl/planteles/santiago-wanderers/","18","Jimmy CISTERNA Moya","CHI","05.04.93, Viña del Mar","Volante ofe.",""
"Palestino","http://www.sifup.cl/planteles/palestino/","15","Renato CÉSAR Pérez","URU","16.08.93, Maldonado","Delantero",""
"Palestino","http://www.sifup.cl/planteles/palestino/","-","José SAGREDO Caruz","CHI","25.02.94, Santiago","Volante ofe.",""
"Deportes Temuco","http://www.sifup.cl/planteles/deportes-temuco/","2","Sebastián DOMÍNGUEZ Monteiro","CHI","05.12.87, Santiago","Volante def.",""
"Unión Española","http://www.sifup.cl/planteles/union-espanola/","1","Cristián GUERRA Torres","CHI","09.08.94, Mejillones","Arquero",""
"Universidad de Chile","http://www.sifup.cl/planteles/universidad-de-chile/","13","Matías PARADA Parra","CHI","02.04.98, Chillán","Volante ofe.",""
"Deportes Temuco","http://www.sifup.cl/planteles/deportes-temuco/","23","Cris MARTÍNEZ Escobar","PAR","24.04.93, Carlos A. López","Delantero",""
"Everton","http://www.sifup.cl/planteles/everton/","-","Marco GONZÁLEZ Cerón","CHI","19.05.98, San Vicente","Arquero",""
"Universidad de Concepción","http://www.sifup.cl/planteles/universidad-de-concepcion/","2","Diego SOTO Riffo","CHI","22.10.98, Yumbel","Lateral izq.",""
"Deportes Antofagasta","http://www.sifup.cl/planteles/deportes-antofagasta/","25","Nicolás ARAYA Bruna","CHI","06.06.99, La Serena","Arquero",""
"Universidad Católica","http://www.sifup.cl/planteles/universidad-catolica/","19","José Pedro FUENZALIDA Gana","CHI","22.02.85, Santiago","Volante der.",""
"O’Higgins de Rancagua","http://www.sifup.cl/planteles/ohiggins/","28","Francisco ARANCIBIA Silva","CHI","12.11.96, Santiago","Volante ofe.",""
"Huachipato FC","http://www.sifup.cl/planteles/huachipato/","7","Ricardo GONZÁLEZ Aravena","CHI","10.03.95, Valdivia","Volante ofe.",""
"Universidad de Concepción","http://www.sifup.cl/planteles/universidad-de-concepcion/","5","Francisco ALARCÓN Cruz","CHI","25.02.90, Las Condes","Central",""
"Universidad Católica","http://www.sifup.cl/planteles/universidad-catolica/","2","Germán LANARO Contreras *","CHI","21.03.86, V. Regina/ARG","Central",""
"Audax Italiano","http://www.sifup.cl/planteles/audax-italiano/","22","Nicolás PERIC Villarreal (C)","CHI","19.10.78, Talca","Arquero",""
"Audax Italiano","http://www.sifup.cl/planteles/audax-italiano/","9","Marcos RIQUELME Montoya","ARG","18.02.88, Derqui","Delantero",""
"Unión Española","http://www.sifup.cl/planteles/union-espanola/","11","Fabián SAAVEDRA Muñoz","CHI","27.01.92, Independencia","Delantero",""
"Universidad de Chile","http://www.sifup.cl/planteles/universidad-de-chile/","","","","","","<tbody>
<tr style=""height: 24px;"">
<th style=""text-align: center; height: 24px;"">Nº</th>
<th style=""text-align: center; height: 24px;"">Nombre y apellidos</th>
<th style=""text-align: center; height: 24px;"">Nac.</th>
<th style=""text-align: center; height: 24px;"">Fecha y lugar de nac.</th>
<th style=""text-align: center; height: 24px;"">Posición</th>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">35</td>
<td style=""height: 24px;"">Gonzalo COLLAO Villegas</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">09.09.97, Coquimbo</td>
<td style=""height: 24px;"">Arquero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">1</td>
<td style=""height: 24px;"">Fernando DE PAUL Lanciotti *</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">25.04.91, Álvarez/ARG</td>
<td style=""height: 24px;"">Arquero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">12</td>
<td style=""height: 24px;"">Nelson ESPINOZA Díaz</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">22.09.95, Rancagua</td>
<td style=""height: 24px;"">Arquero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">25</td>
<td style=""height: 24px;"">Jhonny HERRERA Muñoz (C)&nbsp;<a href=""https://twitter.com/SamuraiAzul25"" target=""_blank""><img src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">09.05.81, Angol</td>
<td style=""height: 24px;"">Arquero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">4</td>
<td style=""height: 24px;"">Alejandro CONTRERAS Daza</td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">03.03.93, Puente Alto</td>
<td style=""height: 24px;"">Central</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">18</td>
<td style=""height: 24px;"">Gonzalo JARA Reyes</td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">29.08.85, Hualpén</td>
<td style=""height: 24px;"">Central</td>
</tr>
<tr style=""height: 24.8125px;"">
<td style=""text-align: center; height: 24.8125px;"">3</td>
<td style=""height: 24.8125px;"">Nicolás RAMÍREZ Aguilera</td>
<td style=""text-align: center; height: 24.8125px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24.8125px;"">01.05.97, Santiago</td>
<td style=""height: 24.8125px;"">Central</td>
</tr>
<tr style=""height: 24.8125px;"">
<td style=""text-align: center; height: 24.8125px;"">13</td>
<td style=""height: 24.8125px;"">Alonso RODRÍGUEZ Rojas</td>
<td style=""text-align: center; height: 24.8125px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24.8125px;"">-</td>
<td style=""height: 24.8125px;"">Central</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">2</td>
<td style=""height: 24px;"">Christian VILCHES González</td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">13.07.83, Quinta Normal</td>
<td style=""height: 24px;"">Central</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">14</td>
<td style=""height: 24px;"">Franz SCHULTZ Ramírez</td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">20.07.91, Valparaíso</td>
<td style=""height: 24px;"">Lat. der./vol. def.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">15</td>
<td style=""height: 24px;"">Jean BEAUSEJOUR Coliqueo</td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">01.06.84, Santiago</td>
<td style=""height: 24px;"">Lat./vol. izq.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">27</td>
<td style=""height: 24px;"">Luciano Fabián MONZÓN</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/ar.gif"" alt=""ar"" width=""16"" height=""11"">&nbsp;ARG</td>
<td style=""height: 24px;"">13.04.87, Gran. Baigorria</td>
<td style=""height: 24px;"">Lateral izq.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">26</td>
<td style=""height: 24px;"">Danilo CATALÁN Córdova</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11""> CHI</td>
<td style=""height: 24px;"">19.11.97, Maipú</td>
<td style=""height: 24px;"">Vol. def./lat. izq.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">5</td>
<td style=""height: 24px;"">Gonzalo ESPINOZA Toledo</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11""> CHI</td>
<td style=""height: 24px;"">09.04.90, Constitución</td>
<td style=""height: 24px;"">Volante def.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">6</td>
<td style=""height: 24px;"">Sebastián MARTÍNEZ Muñoz&nbsp;<a title=""Cuenta Twitter de Sebastián Martínez"" href=""https://twitter.com/SebaMartinez23"" target=""_blank""><img class="""" src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11""> CHI</td>
<td style=""height: 24px;"">06.06.93, Santiago</td>
<td style=""height: 24px;"">Volante def.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">21</td>
<td style=""height: 24px;"">Lorenzo REYES Vicencio</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11""> CHI</td>
<td style=""height: 24px;"">13.06.91, Santiago</td>
<td style=""height: 24px;"">Volante def.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">30</td>
<td style=""height: 24px;"">Yerko LEIVA Lazo</td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">14.06.98, Santiago</td>
<td style=""height: 24px;"">Volante mix.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">8</td>
<td style=""height: 24px;"">David PIZARRO Cortez</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11""> CHI</td>
<td style=""height: 24px;"">11.09.79, Valparaíso</td>
<td style=""height: 24px;"">Volante mix.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">31</td>
<td style=""height: 24px;"">Valentín CASTELLANOS</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/ar.gif"" alt=""ar"" width=""16"" height=""11"">&nbsp;ARG</td>
<td style=""height: 24px;"">98, Mendoza</td>
<td style=""height: 24px;"">Volante ofe.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">22</td>
<td style=""height: 24px;"">Gustavo LORENZETTI Espinosa *</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">10.05.85, Rosario/ARG</td>
<td style=""height: 24px;"">Volante ofe.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">20</td>
<td style=""height: 24px;"">Lucas Elías ONTIVERO</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/ar.gif"" alt=""ar"" width=""16"" height=""11"">&nbsp;ARG</td>
<td style=""height: 24px;"">09.09.94, San Fernando</td>
<td style=""height: 24px;"">Volante ofe.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">13</td>
<td style=""height: 24px;"">Matías PARADA Parra</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">02.04.98, Chillán</td>
<td style=""height: 24px;"">Volante ofe.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">16</td>
<td style=""height: 24px;"">Matías RODRÍGUEZ Perdernera</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/ar.gif"" alt=""ar"" width=""16"" height=""11"">&nbsp;ARG</td>
<td style=""height: 24px;"">14.04.86, San Luis</td>
<td style=""height: 24px;"">Volante&nbsp;der.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">28</td>
<td style=""height: 24px;"">Jonathan ZACARÍA Gómez</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/ar.gif"" alt=""ar"" width=""16"" height=""11"">&nbsp;ARG</td>
<td style=""height: 24px;"">06.02.90, Ramos Mejía</td>
<td style=""height: 24px;"">Volante izq.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">7</td>
<td style=""height: 24px;"">Leandro BENEGAS Gómez</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/ar.gif"" alt=""ar"" width=""16"" height=""11"">&nbsp;ARG</td>
<td style=""height: 24px;"">27.11.88, Godoy Cruz</td>
<td style=""height: 24px;"">Delantero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">17</td>
<td style=""height: 24px;"">Mario BRICEÑO Portilla</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">20.06.96, La Serena</td>
<td style=""height: 24px;"">Delantero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">10</td>
<td style=""height: 24px;"">Gastón Nicolás FERNÁNDEZ</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/ar.gif"" alt=""ar"" width=""16"" height=""11"">&nbsp;ARG</td>
<td style=""height: 24px;"">12.10.83, Avellaneda</td>
<td style=""height: 24px;"">Delantero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">19</td>
<td style=""height: 24px;"">Juan LEIVA Mieres&nbsp;<a href=""https://twitter.com/jleiva8"" target=""_blank""><img src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">11.11.93, Chillán</td>
<td style=""height: 24px;"">Delantero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">9</td>
<td style=""height: 24px;"">Felipe MORA Aliaga</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">02.08.93, Providencia</td>
<td style=""height: 24px;"">Delantero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">11</td>
<td style=""height: 24px;"">Sebastián UBILLA Cambón&nbsp;<a href=""https://twitter.com/sebaubi11a"" target=""_blank""><img src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">09.08.90, Quilpué</td>
<td style=""height: 24px;"">Delantero</td>
</tr>
</tbody>"
"O’Higgins de Rancagua","http://www.sifup.cl/planteles/ohiggins/","12","Leonardo FIGUEROA González","CHI","17.04.90, Talca","Arquero",""
"Deportes Iquique","http://www.sifup.cl/planteles/deportes-iquique/","15","Felipe REYNERO Galarce","CHI","14.03.89, Providencia","Delantero",""
"Palestino","http://www.sifup.cl/planteles/palestino/","5","Carlos Agustín FARÍAS Sarugo (C)","ARG","25.12.87, Azul","Volante def.",""
"Colo Colo","http://www.sifup.cl/planteles/colo-colo/","2","Fernando MEZA Gómez","ARG","21.03.90, San Martín","Central",""
"Everton","http://www.sifup.cl/planteles/everton/","32","Matías BLÁZQUEZ Lavín","CHI","08.05.91, Viña del Mar","Central",""
"Deportes Temuco","http://www.sifup.cl/planteles/deportes-temuco/","8","Lucas CAMPANA Accurso","ARG","11.03.93, Buenos Aires","Delantero",""
"Deportes Temuco","http://www.sifup.cl/planteles/deportes-temuco/","6","Luis CASANOVA Sandoval","CHI","01.07.92. Rancagua","Central",""
"Santiago Wanderers","http://www.sifup.cl/planteles/santiago-wanderers/","28","Gabriel ROJAS Muñoz","CHI","09.03.99, Independencia","Delantero",""
"Palestino","http://www.sifup.cl/planteles/palestino/","24","Bayron SAAVEDRA Navarro","CHI","06.07.97, San Miguel","Lateral izq.",""
"Universidad de Chile","http://www.sifup.cl/planteles/universidad-de-chile/","18","Gonzalo JARA Reyes","CHI","29.08.85, Hualpén","Central",""
"San Luis de Quillota","http://www.sifup.cl/planteles/san-luis/","14","Daniel VICENCIO Quiero (C)","CHI","04.08.92, La Ligua","Central",""
"Universidad Católica","http://www.sifup.cl/planteles/universidad-catolica/","13","Benjamín KUSCEVIC Jaramillo","CHI","02.05.96, Santiago","Central",""
"Santiago Wanderers","http://www.sifup.cl/planteles/santiago-wanderers/","24","Luis GARCÍA Varas","CHI","09.02.96, Cabildo","Volante def.",""
"Audax Italiano","http://www.sifup.cl/planteles/audax-italiano/","20","Eduardo NAVARRETE Contreras","CHI","07.06.96, Santiago","Lateral izq.",""
"Deportes Iquique","http://www.sifup.cl/planteles/deportes-iquique/","2","Humberto BUSTAMANTE Cerda","CHI","19.05.90, Concepción","Central",""
"Santiago Wanderers","http://www.sifup.cl/planteles/santiago-wanderers/","9","Javier PARRAGUEZ Herrera","CHI","31.12.89, Cerro Navia","Delantero",""
"Huachipato FC","http://www.sifup.cl/planteles/huachipato/","4","Jimmy MARTÍNEZ Ruiz","CHI","26.01.97, Laja","Volante der.",""
"Santiago Wanderers","http://www.sifup.cl/planteles/santiago-wanderers/","19","Sebastián REYES Canelo","CHI","06.03.94, San Antonio","Delantero",""
"Unión Española","http://www.sifup.cl/planteles/union-espanola/","10","Juan Gabriel RIVAS","ARG","14.08.92, Santa Fe","Volante ofe.",""
"Huachipato FC","http://www.sifup.cl/planteles/huachipato/","3","Andrés ROBLES Fuentes","CHI","07.05.94, Conchalí","Cen./vol. def.",""
"Audax Italiano","http://www.sifup.cl/planteles/audax-italiano/","1","Eryin SANHUEZA Mora","CHI","29.01.96, Temuco","Arquero",""
"Colo Colo","http://www.sifup.cl/planteles/colo-colo/","2","Misael LLANTÉN Letelier","CHI","07.02.99, Santiago","Volante def.",""
"Universidad Católica","http://www.sifup.cl/planteles/universidad-catolica/","1","Cristopher TOSELLI Ríos","CHI","15.06.88, Antofagasta","Arquero",""
"Colo Colo","http://www.sifup.cl/planteles/colo-colo/","12","Paulo GARCÉS Contreras","CHI","02.08.84, Parral","Arquero",""
"Deportes Temuco","http://www.sifup.cl/planteles/deportes-temuco/","19","Orlando GUTIÉRREZ Leiva","CHI","19.08.89, Valparaíso","Central/lat. izq.",""
"Cobresal","http://www.sifup.cl/planteles/cobresal/","2","Federico MARTORELL Rigo","ARG","26.03.81, Rosario","Central",""
"Universidad de Concepción","http://www.sifup.cl/planteles/universidad-de-concepcion/","4","Gustavo MENCIA Ávalos","PAR","05.07.88, Alto Paraná","Central",""
"Cobresal","http://www.sifup.cl/planteles/cobresal/","21","Ronaldo ABARCA Toloza","CHI","20.07.98, Puente Alto","Delantero",""
"Universidad de Chile","http://www.sifup.cl/planteles/universidad-de-chile/","31","Valentín CASTELLANOS","ARG","98, Mendoza","Volante ofe.",""
"O’Higgins de Rancagua","http://www.sifup.cl/planteles/ohiggins/","16","Miguel PINTO Jerez","CHI","04.07.83, Santiago","Arquero",""
"San Luis de Quillota","http://www.sifup.cl/planteles/san-luis/","-","José PONCE Maturana","CHI","23.05.98, Hijuelas","Volante ofe.",""
"Unión Española","http://www.sifup.cl/planteles/union-espanola/","31","Ángel MARÍN Vicente","CHI","06.07.96, Conchalí","Arquero",""
"Huachipato FC","http://www.sifup.cl/planteles/huachipato/","21","Matías MANRÍQUEZ Rodríguez","CHI","09.03.96, SP de la Paz","Central",""
"O’Higgins de Rancagua","http://www.sifup.cl/planteles/ohiggins/","7","Pedro MUÑOZ Zúñiga","CHI","09.06.86, Las Cabras","Delantero",""
"Unión Española","http://www.sifup.cl/planteles/union-espanola/","14","Felipe SEYMOUR Dobud","CHI","23.07.87, Pirque","Volante def.",""
"Santiago Wanderers","http://www.sifup.cl/planteles/santiago-wanderers/","14","Kevin VALENZUELA Fuentes","CHI","30.07.93, Viña del Mar","Volante def.",""
"Cobresal","http://www.sifup.cl/planteles/cobresal/","19","Luis Gabriel SOLÍS","ARG","24.06.85, Salta","Volante def.",""
"Universidad de Chile","http://www.sifup.cl/planteles/universidad-de-chile/","25","Jhonny HERRERA Muñoz (C)","CHI","09.05.81, Angol","Arquero",""
"Everton","http://www.sifup.cl/planteles/everton/","8","Sebastián LEYTON Hevia","CHI","13.05.93, Curicó","Volante def.",""
"Universidad de Concepción","http://www.sifup.cl/planteles/universidad-de-concepcion/","17","Esteban FLORES Martínez","CHI","07.04.92, Concepción","Lateral izq.",""
"Deportes Iquique","http://www.sifup.cl/planteles/deportes-iquique/","3","Matías FIGUEROA Díaz","CHI","07.05.96, Iquique","Central",""
"Everton","http://www.sifup.cl/planteles/everton/","5","Agustín VOLKER Vergara","CHI","09.02.99, Viña del Mar","Central",""
"Deportes Temuco","http://www.sifup.cl/planteles/deportes-temuco/","26","Fernando LAZCANO Barros","CHI","10.11.88, Santiago","Volante izq.",""
