teams,teams-href,Nº,Nombre y apellidos,Nac.,Fecha y lugar de nac.,Posición,html table
"Unión Española","http://www.sifup.cl/planteles/union-espanola/","","","","","","<tbody>
<tr style=""height: 24px;"">
<th style=""text-align: center; height: 24px;"">Nº</th>
<th style=""text-align: center; height: 24px;"">Nombre y apellidos</th>
<th style=""text-align: center; height: 24px;"">Nac.</th>
<th style=""text-align: center; height: 24px;"">Fecha y lugar de nac.</th>
<th style=""text-align: center; height: 24px;"">Posición</th>
</tr>
<tr style=""height: 24.8125px;"">
<td style=""text-align: center; height: 24.8125px;"">1</td>
<td style=""height: 24.8125px;"">Cristián GUERRA Torres</td>
<td style=""text-align: center; height: 24.8125px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24.8125px;"">09.08.94, Mejillones</td>
<td style=""height: 24.8125px;"">Arquero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">-</td>
<td style=""height: 24px;"">Walter LIMENZA González</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/py.gif"" alt=""py"" width=""16"" height=""11"">&nbsp;PAR</td>
<td style=""height: 24px;"">13.11.97, Tobatí</td>
<td style=""height: 24px;"">Arquero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">31</td>
<td style=""height: 24px;"">Ángel MARÍN Vicente</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">06.07.96, Conchalí</td>
<td style=""height: 24px;"">Arquero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">13</td>
<td style=""height: 24px;"">Diego SÁNCHEZ Carvajal</td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">08.05.87, La Granja</td>
<td style=""height: 24px;"">Arquero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">12</td>
<td style=""height: 24px;"">Marcelo SALINAS Paulino</td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">29.05.95, Hannover/ALE</td>
<td style=""height: 24px;"">Arquero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">17</td>
<td style=""height: 24px;"">Jorge AMPUERO Cabello (C)&nbsp;<a title=""Cuenta Twitter de Jorge Ampuero"" href=""https://twitter.com/ampuero_17"" target=""_blank""><img class="""" src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">17.04.87, Huechuraba</td>
<td style=""height: 24px;"">Central</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">5</td>
<td style=""height: 24px;"">Fernando CORNEJO Padilla</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">13.04.94, Lo Prado</td>
<td style=""height: 24px;"">Central</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">6</td>
<td style=""height: 24px;"">Lucas DOMÍNGUEZ Irarrázabal&nbsp;<a href=""https://twitter.com/lucasdominguezi"" target=""_blank""><img src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">27.10.89, Pirque</td>
<td style=""height: 24px;"">Central</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">29</td>
<td style=""height: 24px;"">Nicolás HIGUERAS Gangas</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11""> CHI</td>
<td style=""height: 24px;"">31.01.97, Independencia</td>
<td style=""height: 24px;"">Central/lat. der.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">4</td>
<td style=""height: 24px;"">Nicolás MANCILLA Hidalgo&nbsp;<a href=""https://twitter.com/NiicoMancilla"" target=""_blank""><img src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">07.10.93, Quinta Normal</td>
<td style=""height: 24px;"">Central</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">18</td>
<td style=""height: 24px;"">Dagoberto CURRIMILLA Torres</td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">26.12.87, Valdivia</td>
<td style=""height: 24px;"">Lateral der.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">16</td>
<td style=""height: 24px;"">Nicolás BERARDO</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/ar.gif"" alt=""ar"" width=""16"" height=""11"">&nbsp;ARG</td>
<td style=""height: 24px;"">26.07.90, San Basilio</td>
<td style=""height: 24px;"">Lateral izq.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">19</td>
<td style=""height: 24px;"">Mario LARENAS Díaz&nbsp;<a title=""Cuenta Twitter de Mario Larenas"" href=""https://twitter.com/Maritolarenas"" target=""_blank""><img class="""" src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">27.07.93, Recoleta</td>
<td style=""height: 24px;"">Lateral izq.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">27</td>
<td style=""height: 24px;"">Pablo GALDAMES Millán&nbsp;<a title=""Cuenta Twitter de Pablo Galdames"" href=""https://twitter.com/GaldamesJr27"" target=""_blank""><img class="""" src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">30.12.96, Las Condes</td>
<td style=""height: 24px;"">Vol. def./lat. der.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">8</td>
<td style=""height: 24px;"">Carlos GÓMEZ Astudillo</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">14.02.92, San Miguel</td>
<td style=""height: 24px;"">Volante def.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">14</td>
<td style=""height: 24px;"">Felipe SEYMOUR Dobud&nbsp;<a href=""https://twitter.com/felipeseymour"" target=""_blank""><img src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">23.07.87, Pirque</td>
<td style=""height: 24px;"">Volante def.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">25</td>
<td style=""height: 24px;"">Ángel MUÑOZ Castro&nbsp;<a title=""Cuenta Twitter de Ángel Muñoz"" href=""https://twitter.com/munoz25mc"" target=""_blank""><img src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">27.01.96, Conchalí</td>
<td style=""height: 24px;"">Volante mix.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">22</td>
<td style=""height: 24px;"">Pablo ARÁNGUIZ Salazar</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">17.03.97, Independencia</td>
<td style=""height: 24px;"">Volante ofe.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">20</td>
<td style=""height: 24px;"">Óscar HERNÁNDEZ Polanco&nbsp;<a href=""https://twitter.com/ohpolanco20"" target=""_blank""><img src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11""> CHI</td>
<td style=""height: 24px;"">03.07.94, Renca</td>
<td style=""height: 24px;"">Volante ofe.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">21</td>
<td style=""height: 24px;"">Dante MARTÍNEZ Jara</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11""> CHI</td>
<td style=""height: 24px;"">18.06.94, Santiago</td>
<td style=""height: 24px;"">Volante ofe.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">7</td>
<td style=""height: 24px;"">César PINARES Tamayo</td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">23.05.91, Santiago</td>
<td style=""height: 24px;"">Volante ofe.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">10</td>
<td style=""height: 24px;"">Juan Gabriel RIVAS</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/ar.gif"" alt=""ar"" width=""16"" height=""11"">&nbsp;ARG</td>
<td style=""height: 24px;"">14.08.92, Santa Fe</td>
<td style=""height: 24px;"">Volante ofe.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">15</td>
<td style=""height: 24px;"">Diego CHURÍN Puyo&nbsp;<a href=""https://twitter.com/dchurin"" target=""_blank""><img src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/ar.gif"" alt=""ar"" width=""16"" height=""11"">&nbsp;ARG</td>
<td style=""height: 24px;"">01.12.89, Arroyo Dulce</td>
<td style=""height: 24px;"">Delantero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">9</td>
<td style=""height: 24px;"">Carlos SALOM Alegre&nbsp;<a title=""Cuenta Twitter de Carlos Salom"" href=""https://twitter.com/salom_turco"" target=""_blank""><img class="""" src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/ar.gif"" alt=""ar"" width=""16"" height=""11"">&nbsp;ARG</td>
<td style=""height: 24px;"">03.03.87, Corrientes</td>
<td style=""height: 24px;"">Delantero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">11</td>
<td style=""height: 24px;"">Fabián SAAVEDRA Muñoz</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11""> CHI</td>
<td style=""height: 24px;"">27.01.92, Independencia</td>
<td style=""height: 24px;"">Delantero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">28</td>
<td style=""height: 24px;"">Jason FLORES Abrigo</td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">28.02.97, Recoleta</td>
<td style=""height: 24px;"">Delantero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">23</td>
<td style=""height: 24px;"">Sebastián Óscar JAIME</td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/ar.gif"" alt=""ar"" width=""16"" height=""11"">&nbsp;ARG</td>
<td style=""height: 24px;"">30.01.87, La Plata</td>
<td style=""height: 24px;"">Delantero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">21</td>
<td style=""height: 24px;"">Fernando MENESES Cornejo</td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">27.09.85, Lontué</td>
<td style=""height: 24px;"">Delantero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">24</td>
<td style=""height: 24px;"">José Luis SIERRA Cabrera&nbsp;<a title=""Cuenta Twitter de José Luis Sierra Cabrera"" href=""https://twitter.com/JlSierra9"" target=""_blank""><img src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">24.06.97, Las Condes</td>
<td style=""height: 24px;"">Delantero</td>
</tr>
</tbody>"
"San Luis de Quillota","http://www.sifup.cl/planteles/san-luis/","-","Jesús GAETE Tapia","CHI","23.03.98, Quillota","Delantero",""
"Colo Colo","http://www.sifup.cl/planteles/colo-colo/","7","Esteban PAREDES Quintanilla","CHI","01.08.80, Cerro Navia","Delantero",""
"Universidad Católica","http://www.sifup.cl/planteles/universidad-catolica/","4","Cristián ÁLVAREZ Valenzuela (C)","CHI","20.01.80, Curicó","Central",""
"Santiago Wanderers","http://www.sifup.cl/planteles/santiago-wanderers/","25","Gabriel CASTELLÓN Velazque (C)","CHI","08.09.93, Valparaíso","Arquero",""
"Palestino","http://www.sifup.cl/planteles/palestino/","21","Ignacio AYALA Rojas","CHI","29.11.97, San Miguel","Lateral der.",""
"O’Higgins de Rancagua","http://www.sifup.cl/planteles/ohiggins/","29","José GARCÉS Aniñir","CHI","01.01.98, Contulmo","Lateral izq.",""
"Huachipato FC","http://www.sifup.cl/planteles/huachipato/","14","Leonardo POVEA Pérez","CHI","26.01.94, Los Ángeles","Volante def.",""
"Santiago Wanderers","http://www.sifup.cl/planteles/santiago-wanderers/","5","Mario PARRA Pérez","CHI","09.01.93, San Bernardo","Central",""
"Santiago Wanderers","http://www.sifup.cl/planteles/santiago-wanderers/","6","Kevin VÁSQUEZ Valdivia","CHI","27.06.97, Valparaíso","Volante def.",""
